Orthogroup	fly	mouse
OG0000390	sp|P92208|JNK_DROME	BAC76451.1, NP_001075036.1, NP_001394502.1, BAC31240.1, NP_001394503.1, NP_033184.2, EDL20252.1, BAC76450.1, NP_001394513.1, NP_001394504.1, NP_001394508.1, NP_001297612.1, NP_001394506.1, AAH46625.2, NP_001394507.1, NP_997575.2, EDL33733.1, AAH28341.1, BAE26227.1, AAD22577.1, sp|Q9WTU6.2|MK09_MOUSE, EDL33735.1, NP_001157143.1, AAD22578.1, NP_058657.1, BAA85876.1, AAD22576.1, NP_001157144.1, NP_001297382.1, EDL24853.1, NP_001297383.1, BAA85875.1, EDL24857.1, sp|Q91Y86.1|MK08_MOUSE, NP_057909.1, XP_006519095.1, BAF69037.1, NP_001297381.1, BAC31460.1, AAH53027.1
OG0000391	sp|P29993|ITPR_DROME	XP_006505699.1, XP_006505687.1, XP_006505688.1, sp|P11881.2|ITPR1_MOUSE, EDK99409.1, CAA33433.1, prf||1516346A, NP_034715.3, XP_017176897.1, XP_017176898.1, XP_006505689.1, XP_006505693.1, XP_017176899.1, XP_006505686.1, XP_030111059.1, XP_006505694.1, XP_017176896.1, XP_006505691.1, XP_006505692.1, XP_006505690.1, XP_006505695.1, XP_006505696.1, XP_006505700.1, NP_542120.2, sp|P70227.3|ITPR3_MOUSE, BAD90683.1, XP_006523775.1, AAA39316.1, AAA39317.1, BAD90684.1, NP_034716.1, ADG01867.1, BAD90682.1, XP_006507089.1, EDL10703.1, sp|Q9Z329.4|ITPR2_MOUSE, NP_064307.2
OG0000393	tr|Q8IMW9|Q8IMW9_DROME	EDL10656.1, AAH53913.1, BAC26634.1, XP_017177298.1, NP_084173.1, XP_017177293.1, XP_017177290.1, XP_036008268.1, NP_083357.2, sp|Q7TPS5.2|C2CD5_MOUSE, NP_001349044.1, XP_017177288.1, XP_006507060.1, XP_017177286.1, XP_036008278.1, EDL10657.1, XP_017177289.1, NP_001349042.1, XP_036008270.1, BAD32244.1, NP_001103158.1, XP_036008269.1, XP_017177296.1, NP_001349046.1, NP_001349045.1, NP_001349043.1, XP_017177287.1, XP_017177291.1, XP_036008277.1, XP_017177302.1, XP_036008276.1, XP_036008274.1, XP_006507072.1, NP_001349047.1, XP_036008275.1, XP_030111509.1, XP_036008271.1, XP_036008272.1, XP_036008273.1
OG0000402	sp|Q9NB71|HIW_DROME	XP_030103458.1, XP_011243207.1, XP_011243208.1, XP_011243205.1, XP_017171275.1, XP_036014273.1, XP_011243197.1, XP_011243198.1, XP_017171269.1, XP_017171268.1, AAP88591.1, XP_017171274.1, XP_017171273.1, NP_997098.2, sp|Q7TPH6.3|MYCB2_MOUSE, XP_017171272.1, XP_011243204.1, XP_011243203.1, XP_011243201.1, XP_036014271.1, XP_017171266.1, XP_017171276.1, XP_011243206.1, XP_017171278.1, XP_036014275.1, XP_017171277.1, XP_017171280.1, XP_017171279.1, XP_017171283.1, XP_030103459.1, XP_030103460.1, XP_011243209.1, XP_036014278.1, XP_030103461.1, XP_017171267.1, XP_011243202.1, XP_011243196.1, XP_006518455.1, XP_011243200.1, XP_036014272.1, XP_011243195.1, XP_030103457.1, XP_011243199.1, XP_017171271.1, XP_036014276.1
OG0000403	tr|Q9VKP2|Q9VKP2_DROME, sp|Q94920|VDAC_DROME	BAE31090.1, BAE29975.1, BAE43231.1, BAE29717.1, AAC13321.1, AAH03731.2, BAE35185.1, BAE40159.1, EDL01463.1, AAQ01516.1, BAE29617.1, NP_035825.1, sp|Q60930.2|VDAC2_MOUSE, AAH89336.1, BAE40642.1, BAE40882.1, NP_001185927.1, BAE27565.1, BAE29890.1, BAE40997.1, AAB47776.1, NP_035826.1, BAE39813.1, AAH04743.1, BAE35078.1, BAE29815.1, sp|Q60931.1|VDAC3_MOUSE, BAE41103.1, AAH92257.1, BAE40522.1, NP_035824.1, EDL33613.1, NP_001387918.1, BAE41040.1, NP_001349622.1, AAB47777.1, BAE41292.1, BAE40939.1, sp|Q60932.3|VDAC1_MOUSE, NP_001387915.1, NP_001387916.1, BAE39878.1, BAE27004.1, BAE40179.1, BAE31716.1, pdb|3EMN|X, pdb|4C69|X, pdb|7KUH|X, NP_001387917.1, EDL33612.1
OG0000404	tr|Q9VKW4|Q9VKW4_DROME	BAC32991.1, EDL04315.1, EDL04317.1, EDL04316.1, NP_001102511.1, BAE27910.1, AAH62896.1, AAF17083.1, XP_036015083.1, AAH60698.1, NP_001102512.1, XP_036015082.1, XP_036015081.1, XP_036015078.1, NP_057914.2, NP_001344979.1, XP_036015075.1, XP_036015074.1, XP_036015072.1, XP_036015073.1, XP_017171951.1, XP_017171950.1, XP_036015079.1, XP_017171965.1, XP_017171963.1, XP_017171968.1, XP_036015080.1, XP_017171945.1, XP_017171952.1, XP_017171941.1, XP_036015069.1, XP_017171967.1, BAC98236.1, XP_017171932.1, XP_017171939.1, XP_017171942.1, XP_017171953.1, XP_017171964.1, XP_017171957.1, XP_017171954.1, XP_036015077.1, XP_017171949.1, XP_017171944.1, XP_036015071.1, XP_017171943.1, XP_017171947.1, XP_017171931.1, XP_017171930.1, XP_036015067.1, XP_017171933.1, XP_017171937.1, sp|Q9QXL2.2|KI21A_MOUSE, NP_001102510.1, XP_017171934.1, XP_006520558.1, XP_017171935.1, XP_017171936.1, XP_017171938.1
OG0000410	sp|P56721|COLL_DROME	pdb|3MLP|E, pdb|3MLP|A, pdb|3MLP|B, pdb|3MLP|F, XP_006507400.1, NP_001349503.1, NP_001349500.1, AAI39363.1, AAI39365.1, NP_031923.1, EDL33837.1, AAA37533.1, sp|Q07802.1|COE1_MOUSE, BAE24573.1, NP_001277638.1, AAB58322.1, EDL17823.1, sp|O08791.1|COE3_MOUSE, NP_001106886.1, XP_030097950.1, NP_001106885.1, AAH67018.1, NP_034226.1, AAB58324.1, EDL17822.1, XP_030097951.1, XP_006507398.1, XP_030097952.1, XP_011239974.1, NP_001263316.1, BAC35239.1, EDL35973.1, sp|O08792.4|COE2_MOUSE, AAH50922.1, NP_001347131.1, EDL35975.1, AAB58323.1, EDL35974.1, AAH49188.1, NP_034225.1, BAE23936.1
OG0000411	sp|P20228|DCE_DROME	NP_032103.2, BAE23133.1, sp|P48318.2|DCE1_MOUSE, BAE28589.1, AAL37393.1, AAL37394.1, AAL90767.1, AAL90766.1, AAH27059.1, EDL27063.1, CAA72934.1, XP_006498828.1, BAE36059.1, XP_006498829.1, AFX68720.1, CAA01912.1, AAL37396.1, NP_032104.2, sp|P48320.1|DCE2_MOUSE, AAL37395.1, AAA93049.1, AAH18380.1, AFX68721.1, EDL08136.1
OG0000411	tr|Q24062|Q24062_DROME	XP_036015307.1, XP_030104438.1, XP_036015311.1, XP_036015313.1, XP_036015314.1, XP_030104434.1, XP_030104439.1, NP_659191.1, XP_030104436.1, NP_001346055.1, AAK60398.1, EDL04002.1, BAB23747.1, EDL04003.1, XP_030104437.1, XP_036015309.1, XP_036015308.1, sp|Q9DBE0.1|CSAD_MOUSE, XP_036015310.1, XP_030104435.1, XP_036015312.1, pdb|7A0A|C, pdb|7A0A|B, pdb|7A0A|D, pdb|7A0A|A
OG0000418	tr|Q7KVD1|Q7KVD1_DROME	XP_036015216.1, NP_001074771.1, XP_030104327.1, XP_006520116.1, XP_036015215.1, XP_006520115.1, BAE32258.1, AAH51169.1, XP_006520113.1, XP_006520114.1, sp|Q0KL02.3|TRIO_MOUSE, BAF30811.1, XP_006520117.1, XP_011244258.1, XP_006522433.1, XP_006522449.1, XP_006522427.1, XP_011244259.1, XP_011244254.1, XP_036015907.1, XP_017172560.1, XP_036015909.1, XP_011244262.1, XP_011244263.1, XP_011244255.1, XP_011244253.1, XP_011244257.1, XP_006522426.1, XP_011244256.1, NP_796331.2, EDK97860.1, sp|A2CG49.1|KALRN_MOUSE, XP_011244261.1, XP_011244260.1, XP_036015910.1, XP_036015912.1, XP_017172562.1, XP_011244267.1, XP_011244268.1, XP_036015913.1, XP_017172563.1, XP_030105051.1, XP_030105052.1, XP_030105050.1, XP_017172561.1, XP_011244269.1
OG0000419	tr|Q9VVT8|Q9VVT8_DROME	NP_001289092.1, AAH56644.1, XP_006509325.2, XP_006509328.1, sp|P41216.2|ACSL1_MOUSE, BAE31484.1, NP_032007.2, XP_006509329.1, XP_006509327.1, BAE26736.1, BAE31678.1, BAE40051.1, EDL35574.1, EDL35573.1, CBU89985.1, BAE28854.1, CBF65114.1, BAB23652.1, BAE36230.1, XP_017168052.1, sp|Q91WC3.1|ACSL6_MOUSE, NP_001028770.1, XP_036012431.1, AAH16114.1, BAE27819.1, AAW33886.1, BAF82006.1, CBF65112.1, XP_006532906.1, XP_006532907.1, CBU89943.1, XP_030101661.1, CBF65072.1, NP_001028771.1, AAW33885.1, AAW33883.1, AAH22959.2, NP_001028769.1, XP_006532908.1, XP_036012432.1, CBU89983.1, sp|Q8JZR0.1|ACSL5_MOUSE, BAE30350.1, XP_006527241.1, CBU89982.1, BAE29645.1, NP_082252.1, AAH31544.1, EDL01724.1, CBF65111.1, BAE36153.1, BAE29747.1, EDL01725.1, BAE26731.1
OG0000421	tr|B7Z0D3|B7Z0D3_DROME	CAD79799.1, EDL26644.1, EDL26650.1, EDL26646.1, EDL26647.1, NP_001359202.1, NP_001359194.1, XP_036016434.1, AAC82479.1, NP_001359201.1, NP_001359198.1, NP_001359203.1, EDL26642.1, XP_030105575.1, sp|Q9Z1R2.1|BAG6_MOUSE, NP_001359220.1, NP_001359214.1, NP_001359195.1, NP_001359204.1, NP_001359206.1, NP_001359212.1, NP_001239398.1, BAE41587.1, XP_017172923.1, AAH37051.1, EDL26649.1, NP_001359205.1, NP_001359207.1, NP_001391260.1, XP_006524178.1, NP_001359219.1, NP_001359218.1, NP_001359215.1, NP_001359216.1, NP_001359217.1, XP_030105581.1, EDL26651.1, NP_001359213.1, NP_001359197.1, NP_001359199.1, NP_001359200.1, EDL26643.1, NP_476512.1, NP_001359196.1, NP_001359189.1, XP_006524176.1, NP_001391257.1, NP_001359190.1, NP_001391258.1, NP_001391256.1, XP_006524181.1, XP_036016432.1, XP_017172921.1, XP_030105572.1, XP_006524180.1, NP_001359191.1, XP_030105571.1, XP_030105573.1, NP_001391259.1, BAE28666.1, NP_001359208.1, NP_001239397.1, NP_001359211.1, NP_001359209.1, NP_001359210.1, EDL26645.1, AAH26647.1
OG0000430	tr|Q9VN58|Q9VN58_DROME	XP_036017160.1, EDL02171.1, XP_036017182.1, XP_030105107.1, EDL02173.1, XP_036017145.1, EDL02182.1, EDL02178.1, XP_006496490.1, XP_011236975.1, XP_030105055.1, XP_011236972.1, XP_011236971.1, XP_011236970.1, XP_030105040.1, XP_030105028.1, EDL02181.1, sp|G5E870.1|TRIPC_MOUSE, NP_598736.4, XP_030104782.1, XP_030104858.1, XP_006496485.1, XP_030104872.1, XP_030104802.1, XP_030104755.1, XP_036016798.1, XP_006496479.1, XP_011236965.1, XP_011236961.1, XP_011236959.1, XP_011236957.1, XP_011236956.1, XP_011236960.1, XP_036016722.1, XP_011236966.1, XP_036016870.1, XP_036016854.1, XP_017172162.1, XP_011236964.1, XP_036016802.1, XP_036016773.1, XP_011236963.1, XP_006496477.1, XP_006496472.1, XP_030105170.1, XP_030105145.1, XP_036017235.1, XP_030104920.1, XP_036017009.1
OG0000431	tr|A0A0B4K6W9|A0A0B4K6W9_DROME	BAE32096.1, EDL31646.1, NP_001070831.1, AAH07472.1, BAC65159.1, AAH86489.1, AAH28848.1, AAH66210.1, BAE30277.1, BAC28230.1, BAC40383.1, BAC34292.1, BAC30837.1, BAC31665.1, NP_001394314.1, NP_001394316.1, EDL31644.1, NP_001394320.1, NP_001394322.1, EDL31645.1, EDL31643.1, BAE29183.1, BAC38544.1, BAC34712.1, BAE43140.1, BAC32158.1, BAE40295.1, NP_032982.2, XP_006501795.1, NP_062423.1, AAF21807.2, BAE23317.1, DAA00061.1, EDL12352.1, AAH10255.1, NP_001297640.1, sp|Q91Z31.2|PTBP2_MOUSE, EDL12351.1, XP_006501794.1
OG0000432	tr|A0A0B4LG94|A0A0B4LG94_DROME	sp|Q9Z1W8.3|AT12A_MOUSE, EDL36200.1, AAL68709.1, AAI09012.1, NP_619593.2, EDL36201.1, NP_061201.2, AAH15262.1, EDL23994.1, sp|Q64436.4|ATP4A_MOUSE, NP_001277556.1, EDL23995.1, AAA79514.1, prf||2112199B
OG0000432	sp|P13607|ATNA_DROME	NP_659149.1, sp|Q8VDN2.1|AT1A1_MOUSE, AAH32187.1, EDL07627.1, EDL07626.1, AAH33471.1, AAH33435.1, AAH42435.1, AAH23794.1, AAH25627.1, AAH25811.1, AAH25618.1, AAH21496.1, sp|Q6PIE5.1|AT1A2_MOUSE, NP_848492.1, AAH36127.1, EDL39028.1, BAE27852.1, BAE36600.1, BAE40545.1, BAE37817.1, BAE23426.1, sp|Q6PIC6.1|AT1A3_MOUSE, NP_001277398.1, AAH37206.1, AAH34645.1, AAH42894.1, NP_001361556.1, EDL24297.1, AAH27000.1
OG0000433	tr|M9NEA1|M9NEA1_DROME	pdb|7CNN|E, pdb|7CNM|E, pdb|6KPP|E, pdb|7DAD|E, pdb|6LSN|E, pdb|6LSM|E, pdb|7DAF|E, pdb|7DBB|E, pdb|7DBA|E, pdb|7DBC|E, pdb|7DBD|E, pdb|7DB9|E, pdb|7DAE|E, AAC96328.1, AAH46752.1, EDL35995.1, AAH14707.1, NP_001297452.1, XP_017171586.1, XP_006519379.1, XP_006519380.1, NP_001297451.1, EDL35994.1, EDL35997.1, EDL35996.1, EDL35993.1, NP_062649.1, sp|P63042.1|STMN4_MOUSE, pdb|7CNO|E, BAC40463.1, BAB29161.1
OG0000447	sp|Q94900|GLUCL_DROME	sp|Q61603.3|GLRA4_MOUSE, AAZ17380.1, NP_034427.2, AAI10631.1, XP_017173873.1, EDL23874.1, AAL69899.1, AAH68987.1, AAH56342.1, NP_906272.1, NP_001344028.1, pir||B49970, EDL40746.1, XP_036017837.1, XP_030107196.1, XP_006528899.1, EDL40745.1, BAE23962.1, sp|Q7TNC8.1|GLRA2_MOUSE, XP_006528897.1, NP_001344029.1, NP_001355703.1, EDL28601.1, AAK51962.1, AAP22967.1, sp|Q91XP5.2|GLRA3_MOUSE, NP_536686.3, AAI31950.1, sp|Q64018.2|GLRA1_MOUSE, NP_001277750.1, CAB52398.1, CAB52399.1, AAM97291.1, AAI37726.1, NP_065238.2, EDL07801.1
OG0000448	sp|P29844|BIP_DROME	AAH50927.1, BAE27328.1, BAE28609.1, BAE30576.1, NP_001156906.1, BAC36166.1, BAE38982.1, BAE30882.1, NP_071705.3, EDL08618.1, EDL08616.1, sp|P20029.3|BIP_MOUSE, BAE40825.1
OG0000448	sp|P11147|HSP7D_DROME	BAE30058.1, AAH04714.1, NP_001002012.1, NP_032327.2, sp|P17156.2|HSP72_MOUSE, EDL36460.1, NP_001396501.1, AAH52350.1, NP_001396500.1
OG0000448	sp|P29843|HSP7A_DROME	sp|P63017.1|HSP7C_MOUSE, EDL25525.1, AAH06722.1, AAI06194.1, AAH89457.1, BAE40745.1, BAE40704.1, BAE40553.1, BAE29612.1, AAH85486.1, BAE40612.1, AAH89322.1, BAE40590.1, BAE29591.1, BAE26523.1, BAE40379.1, BAE37581.1, BAE40398.1, BAE40419.1, BAE39917.1, BAE39865.1, BAE30681.1, BAE30776.1, BAE30822.1, NP_112442.2
OG0000460	sp|P48456|PP2B1_DROME, sp|Q27889|PP2B2_DROME, sp|Q9VXF1|PP2B3_DROME	NP_032940.1, AAH66000.1, BAE22459.1, NP_001297356.1, EDL01508.1, XP_006518774.1, XP_006518771.1, XP_006518770.1, QGX86345.1, XP_036014402.1, NP_001297355.1, EDL01507.1, sp|P48453.2|PP2BB_MOUSE, AAA37411.1, AAA37359.1, XP_030108322.1, XP_017174981.1, EDL12131.1, XP_030108323.1, XP_036018837.1, XP_017174982.1, XP_030108324.1, NP_001280551.1, pdb|4ORB|A, BAE27131.1, BAE29521.1, EDL12128.1, EDL12129.1, AAI38613.1, NP_032939.1, sp|P63328.1|PP2BA_MOUSE, XP_006518777.1
OG0000461	tr|Q9VC05|Q9VC05_DROME	AAI07329.1, AAI07328.1, sp|Q5QNQ6.1|OSBP2_MOUSE, XP_036012938.1, XP_036012935.1, XP_036012933.1, XP_036012932.1, XP_036012934.1, XP_011242065.1, XP_011242067.1, XP_006514914.1, XP_006514912.1, XP_036012937.1, XP_036012936.1, NP_001350092.1, EDL40442.1, NP_690031.2, XP_030102244.1, XP_011242068.1, XP_011242070.1, XP_011242073.1, XP_011242071.1, XP_030102249.1, XP_011242072.1, XP_030102242.1, XP_017170298.1, XP_011242069.1, XP_030102243.1, XP_030102245.1, XP_006514923.1, XP_030102247.1, XP_030102248.1, XP_030102246.1, NP_001350093.1, XP_030102250.1, AAH58356.1, XP_030102251.1, BAC25163.1, AAH58602.1, AAH31794.1, NP_001289559.1, AAH34567.1, NP_001289560.1
OG0000462	tr|Q5U0V7|Q5U0V7_DROME	CAR81409.1, CBX84871.1, NP_001392335.1, NP_001392334.1, NP_001392337.1, NP_001038980.1, NP_001392336.1, NP_001392333.1, NP_001392328.1, NP_001392326.1, NP_001392324.1, NP_001392325.1, NP_001392339.1, pir||PW0049, BAB31837.1, AAX24091.1, CAR81446.1, sp|Q9D2G5.2|SYNJ2_MOUSE, AAH58749.1, NP_001106823.1, CBX84908.1, EDL01666.1, AAC40143.1, XP_017172861.1, BAE36412.1, NP_001277627.1, XP_006523269.1, BAC97932.1, AAH60214.1, XP_006523265.1, NP_001344596.1, EDL01665.1, NP_001106824.1, XP_006523266.1, CAR81400.1, AAC40146.1, CBX84862.1, EDL01664.1, NP_035653.2, NP_001106822.1, XP_006523271.1, AAC40141.1, XP_006523267.1, AAC33137.1, XP_006523268.1, AAC40144.1, AAC40145.1, AAC40142.1, NP_001344594.1
OG0000463	sp|P00399|COX1_DROME	BCG28461.1
OG0000464	tr|Q9VAS9|Q9VAS9_DROME, tr|Q9Y1T2|Q9Y1T2_DROME	AHI88430.1, AAA03443.1, EDK97080.1, BAC38587.1, EDK97081.1, XP_036016842.1, NP_001389663.1, NP_001389664.1, XP_030106155.1, XP_036016845.1, XP_030106151.1, XP_006525601.1, NP_001389666.1, XP_006525602.1, NP_001389662.1, BAE24957.1, XP_036016844.1, NP_001389665.1, XP_030106153.1, XP_036016841.1, XP_036016843.1, BAC31134.1, BAC32198.1, BAC38073.1, AAI41142.1, NP_001347908.1, NP_001389657.1, NP_001389659.1, NP_001389658.1, XP_036016839.1, XP_030106144.1, XP_030106143.1, XP_006525599.1, XP_030106139.1, XP_006525596.1, NP_001389669.1, EDK97079.1, XP_006525592.1, sp|Q61315.1|APC_MOUSE, AAB59632.1, NP_031488.2, NP_001389660.1, NP_001389667.1, XP_030106152.1, XP_030106148.1, XP_030106149.1, XP_030106145.1, XP_030106140.1, XP_030106142.1, XP_006525597.1, XP_030106141.1, NP_001389668.1, XP_030106138.1, NP_001389661.1, NP_001347909.1, NP_001389656.1, EDK97078.1
OG0000471	sp|Q9VW71|FAT2_DROME	XP_030101863.1, XP_006533385.1, NP_001025159.1, XP_006533386.1, EDL33495.1, BAE21217.1, BAD32309.1, sp|Q5F226.1|FAT2_MOUSE, BAE24432.1, NP_001074755.2, XP_017168053.1, XP_036009649.1, XP_006509339.1, XP_006509335.1, XP_006509333.1, XP_006509336.1, XP_036009647.1, XP_030099148.1, XP_030099147.1, XP_011240475.1, XP_006509331.1, XP_006509330.1, XP_036009648.1, XP_006509334.1, AAP82173.1, AAH49872.1, AAI00555.1, AAH41794.1, EDL35538.1, XP_006509337.1, XP_006509340.1, CAB65271.1, XP_011240845.1, XP_017168887.1, XP_011240844.1, XP_011240843.1, EDL25037.1, NP_001074283.2, sp|Q8BNA6.2|FAT3_MOUSE, XP_006510435.1, AAI17745.1, XP_030100259.1
OG0000472	sp|P61857|TBB2_DROME	AAI38937.1, AAI38936.1, BAB27182.1, NP_076205.1, EDL40886.1, sp|Q9CWF2.1|TBB2B_MOUSE
OG0000472	sp|Q24560|TBB1_DROME	AAH47993.1
OG0000472	sp|Q9VRX3|TBBP_DROME	AAH31357.1, AAH88749.1, NP_075768.1, AAG26010.1, sp|Q9ERD7.1|TBB3_MOUSE, BAC34596.1, BAB28299.1, sp|Q922F4.1|TBB6_MOUSE, AAH08225.1, EDL09648.1, BAE26077.1, NP_080749.2, EDL11742.1
OG0000472	tr|Q8MST5|Q8MST5_DROME	sp|P68372.1|TBB4B_MOUSE, NP_666228.1, prf||1304282B, BAE39195.1, AAH22919.1, AAH83319.1
OG0000473	tr|A1Z6Z8|A1Z6Z8_DROME	XP_006510895.1, XP_006510893.1, XP_006510892.1, XP_006510890.1, prf||1705299A, pdb|2IX7|C, sp|Q99104.2|MYO5A_MOUSE, EDL26305.1, XP_036010563.1, EDL26306.1, pdb|3WB8|H, pdb|3WB8|E, pdb|3WB8|G, pdb|3WB8|D, pdb|3WB8|B, pdb|4KP3|A, pdb|4KP3|B, pdb|3WB8|C, pdb|3WB8|A, pdb|3WB8|F, pdb|6KU0|C, pdb|6KU0|A, XP_036010564.1, pir||S55261, XP_006510891.1, CAA40651.1, NP_034994.2, XP_006510894.1, XP_030099963.1, NP_963894.1, EDL09524.1, sp|P21271.2|MYO5B_MOUSE, AAI18526.1, AAH11494.1, BAD32380.1, AAA37655.1, AAH57910.1, EDL09523.1, XP_036016917.1, AAH46444.1, EDL09522.1, XP_006525777.1, XP_006525779.1, XP_006525778.1
OG0000475	sp|Q9XZH6|VATG_DROME	XP_006524858.1, NP_001334280.1, EDL26625.1, BAC10288.1, AAD30176.1, AAH20190.1, BAB27931.1, AAH62380.1, sp|Q9WTT4.1|VATG2_MOUSE, NP_075668.1, BAE31429.1, BAE35183.1, BAB26720.1, BAB22859.1, BAE40775.1, NP_077135.1, AAH03429.1, AAH88836.1, BAC10289.1, sp|Q9CR51.3|VATG1_MOUSE, BAC40520.1, EDL31101.1, EDL26845.1, EDL31100.1, BAB25127.1, BAC38271.1
OG0000478	tr|A0A0B4K774|A0A0B4K774_DROME	NP_001391649.1, NP_001391650.1, XP_036021694.1, NP_001391647.1, XP_036021692.1, NP_001391648.1, XP_006496147.1, XP_036021683.1, XP_017176736.1, NP_001391644.1, NP_001185500.1, AAH79545.1, NP_001391646.1, NP_001391645.1, XP_006496148.1, sp|P62484.1|ABI2_MOUSE, AAH56345.1, EDL00150.1, NP_937760.1, NP_001391642.1, EDL00149.1, XP_006496143.1, XP_036021676.1, NP_001391643.1, NP_001391634.1, NP_001391635.1, XP_017176729.1, XP_030110866.1, NP_001391637.1, NP_001391638.1, AAH79646.1, NP_001185499.1, NP_001391636.1, EDL00151.1, NP_001391639.1, XP_030110873.1, NP_001391641.1, XP_030110872.1, NP_001391640.1
OG0000488	sp|A1Z7G7|LPHN_DROME	XP_036021084.1, XP_036021086.1, NP_001346758.1, XP_036021091.1, XP_036021090.1, XP_036021089.1, XP_036021081.1, XP_036021088.1, XP_036021080.1, XP_036021083.1, XP_017176408.1, NP_001334297.1, XP_036021078.1, XP_011247773.1, XP_030110427.1, XP_036021077.1, NP_001346759.1, XP_036021079.1, AAH94668.1, NP_001346763.1, NP_001334296.1, XP_036021076.1, XP_036021069.1, XP_036021071.1, XP_036021072.1, NP_001334300.1, XP_036021073.1, XP_036021070.1, NP_001346762.1, XP_017176404.1, XP_036021068.1, AAH58992.1
OG0000489	sp|Q9VXG4|ANX11_DROME, sp|P22464|ANXB9_DROME, sp|P22465|ANX10_DROME	EDL01411.1, EDL01414.1, EDL01412.1, BAE32026.1, CAA13092.1, BAE31016.1, sp|P48036.1|ANXA5_MOUSE, NP_033803.1, prf||2206382A, AAC52530.1, EDL35073.1, AAH03716.1, BAA09728.1, BAE28107.1, BAE31952.1, CAA00659.1, NP_001396371.1, NP_001396366.1, NP_038499.2, NP_001396367.1, NP_001396368.1, NP_001318049.1, XP_036021654.1, sp|P97429.4|ANXA4_MOUSE, EDK99195.1, BAE29602.1, BAE40730.1, BAE41805.1, BAE39439.1, BAE40374.1, BAE40316.1, BAE21085.1, BAE30228.1, BAE30071.1, BAE29705.1, NP_001396373.1, NP_001396364.1, NP_001396365.1, AAH55871.1, AAB40697.1, NP_038501.2, sp|O35640.2|ANXA8_MOUSE, CAA05364.1
OG0000490	tr|A8DYB7|A8DYB7_DROME	prf||2211323B, CAA64519.1, XP_030106181.1, XP_036016872.1, NP_997533.1, NP_001348146.1, NP_001272746.1, BAE20740.1, AAH50765.1, CAA64518.1, prf||2211323A, NP_001272737.1, EDK96976.1, NP_001348145.1, BAE27865.1, BAE27816.1, XP_036016869.1, NP_001272742.1, NP_001272739.1, NP_001348144.1, EDK96977.1, XP_017173300.1, XP_011245132.1, XP_011245140.1, XP_011245135.1, AAH40364.1, XP_030106180.1, XP_036016871.1
OG0000491	tr|Q5BI62|Q5BI62_DROME	AAA39513.1, BAB25582.1, sp|Q9QY30.2|ABCBB_MOUSE, EDL27032.1, NP_001350421.1, AAF14372.1, NP_066302.2, XP_006499733.1, pdb|4M1M|A, pdb|6UJN|A, pdb|4M1M|B, AAA39518.1, NP_035205.1, sp|P06795.1|MDR1B_MOUSE, AAA79005.1, AAI50812.1, AAI41364.1, EDL14680.1, pdb|7OTG|A, pdb|7OTI|A, pdb|4KSB|A, pdb|4KSC|A, pdb|3G60|A, pdb|3G61|A, pdb|3G5U|B, pdb|4LSG|B, pdb|4LSG|A, pdb|3G5U|A, pdb|5KPI|B, sp|P21447.3|MDR1A_MOUSE, NP_035206.2, AAA39514.1, AAA39517.1, AAW56448.1, EDL14677.1, pdb|6Q81|A, pdb|5KPJ|A, pdb|5KPI|A, pdb|3G61|B, pdb|6GDI|A, pdb|4KSD|A, pdb|3G60|B
OG0000491	sp|Q00748|MDR65_DROME, tr|Q9VRW2|Q9VRW2_DROME	XP_006503615.1, AAI50688.1, EDL14681.1, NP_032856.2, AAA39516.1, sp|P21440.2|MDR3_MOUSE
OG0000492	sp|P40791|MEF2_DROME	AAH37731.1, AAH57650.1, XP_036013781.1, XP_006517191.1, XP_036013780.1, NP_001334498.1, XP_006517189.1, NP_001334497.1, NP_001164008.1, XP_030103036.1, XP_030103035.1, EDL37147.1, BAE21236.1, pir||A47561, XP_006517190.1, XP_036013787.1, XP_036013788.1, XP_006517193.1, XP_036013784.1, XP_036013785.1, XP_036013786.1, NP_001334507.1, NP_001334493.1, XP_030103032.1, XP_006517187.1, XP_006517186.1, XP_011242794.1, XP_036013779.1, XP_017170894.1, sp|Q8CFN5.2|MEF2C_MOUSE, NP_001334496.1, NP_001334495.1, XP_011242797.1, BAB26099.1, EDL37146.1, NP_079558.1, XP_006517195.1, XP_036013782.1
OG0000493	tr|M9PI02|M9PI02_DROME	XP_036021637.1, sp|Q8BZL8.1|LMO3_MOUSE, NP_997105.1, NP_001343235.1, XP_030110947.1, XP_011239435.1, XP_006505405.1, XP_011239433.1, XP_017176802.1, XP_011239434.1, XP_006505404.1, XP_006505403.1, AAH57086.1, BAC28617.1, XP_036021636.1, NP_001343236.1, NP_001343234.1, NP_001289134.1, EDL16927.1, EDL16929.1, AAH53074.1, CAC39310.1, BAE21734.1, NP_001369493.1, NP_476514.1, sp|Q924W9.1|RBTN1_MOUSE, EDL16928.1, NP_001289135.1
OG0000493	tr|Q9VL21|Q9VL21_DROME	pdb|2DFY|X, pdb|2DFY|C, pdb|1RUT|X, BAC37938.1, AAC83789.1, AAH10278.3, BAE35210.1, EDL12032.1, BAE23609.1, AAC98510.1, EDL12033.1, sp|P61969.1|LMO4_MOUSE, AAC62958.1, AAH03488.1, AAI00383.1, NP_034853.1, EDL12031.1, NP_001155242.1, NP_001155241.1
