Orthogroup	fly	bombus
OG0000213	sp|P10987|ACT1_DROME, sp|P02572|ACT2_DROME	XP_003488485.1
OG0000213	sp|P45891|ACTY_DROME	XP_012236310.1
OG0000213	sp|P02574|ACT4_DROME	XP_012236309.1
OG0000213	sp|P83967|ACT6_DROME	XP_003486568.1
OG0000215	sp|Q9VXY2|MADD_DROME	XP_033179652.1, XP_033179653.1, XP_033179656.1, XP_033179658.1, XP_024227008.1, XP_012247322.1, XP_012247321.1, XP_012247325.1, XP_033179654.1, XP_033179655.1
OG0000216	tr|Q9W0S2|Q9W0S2_DROME	XP_033177641.1, XP_033177644.1, XP_024224676.1, XP_033177645.1, XP_033177646.1, XP_033177642.1, XP_033177643.1, XP_033177648.1, XP_012243244.1, XP_033177649.1
OG0000232	tr|Q9VLF5|Q9VLF5_DROME, tr|Q8IQ10|Q8IQ10_DROME	XP_012237025.1, XP_003486939.1
OG0000232	tr|Q4V5J3|Q4V5J3_DROME	XP_003491285.1
OG0000232	tr|A8DYG0|A8DYG0_DROME, tr|A1Z8J7|A1Z8J7_DROME, sp|P42280|TRYZ_DROME, sp|P42279|TRYU_DROME, tr|Q9VAG3|Q9VAG3_DROME, tr|Q9W454|Q9W454_DROME, tr|Q8IRR3|Q8IRR3_DROME, tr|Q9W586|Q9W586_DROME, tr|Q9W453|Q9W453_DROME, tr|Q9W452|Q9W452_DROME	XP_033177824.1
OG0000241	sp|O16102|CHD3_DROME, sp|O97159|CHDM_DROME	XP_024227203.1, XP_012247685.1, XP_012247686.1, XP_024227200.1, XP_012247679.1, XP_012247681.1, XP_033179816.1, XP_012247680.1, XP_012247682.1, XP_024227198.1, XP_012247684.1, XP_024227199.1, XP_012247683.1
OG0000242	sp|P06604|TBA2_DROME	XP_024221129.1, XP_033174975.1
OG0000242	sp|P06605|TBA3_DROME	XP_003493745.1
OG0000242	sp|P06603|TBA1_DROME	XP_003484907.1
OG0000263	tr|H9XVP2|H9XVP2_DROME	XP_033174542.1, XP_033174543.1, XP_033174541.1, XP_033174538.1, XP_033174536.1, XP_012236128.1, XP_033174539.1, XP_033174537.1, XP_033174544.1
OG0000264	sp|Q9VAF5|CAD99_DROME	XP_012237206.1, XP_012237205.1
OG0000272	sp|Q24270|CAC1D_DROME	XP_024223898.1, XP_003490120.2, XP_024223897.1, XP_033177043.1, XP_033177044.1, XP_033177046.1, XP_033177042.1, XP_033177045.1
OG0000273	sp|Q03720|SLO_DROME	XP_033174475.1, XP_033174468.1, XP_012250384.1, XP_033174469.1, XP_033174466.1, XP_033174465.1, XP_024220456.1, XP_033174482.1, XP_033174455.1, XP_033174448.1, XP_033174460.1, XP_033174447.1, XP_033174463.1, XP_033174461.1, XP_033174464.1, XP_033174471.1, XP_033174474.1, XP_024220478.1, XP_024220467.1, XP_033174456.1, XP_033174454.1, XP_033174459.1, XP_033174486.1, XP_033174462.1, XP_033174485.1, XP_024220468.1, XP_024220480.1, XP_024220476.1, XP_033174483.1, XP_033174470.1, XP_033174484.1, XP_033174481.1
OG0000274	sp|A1ZAJ2|KIF1A_DROME	XP_024228102.1, XP_024228099.1, XP_033180608.1, XP_024228100.1, XP_024228097.1, XP_024228096.1, XP_024228093.1, XP_024228092.1, XP_024228098.1, XP_024228108.1, XP_033180609.1, XP_024228111.1, XP_024228109.1, XP_024228103.1, XP_024228105.1, XP_033180610.1, XP_024228110.1, XP_033180611.1, XP_024228112.1
OG0000275	sp|Q11002|CANA_DROME, sp|Q9VT65|CANB_DROME	XP_003490043.1, XP_012241851.1, XP_012241853.1, XP_012241854.1, XP_012241850.1, XP_024223852.1, XP_012241846.1, XP_012241856.1, XP_012241855.1, XP_012241848.1, XP_012241845.1, XP_012241844.1, XP_012241847.1, XP_012241849.1
OG0000278	sp|P08510|KCNAS_DROME	XP_033174779.1, XP_033174775.1, XP_033174778.1, XP_033174764.1, XP_033174761.1, XP_024220670.1, XP_012236523.1, XP_012236493.1, XP_012236510.1, XP_024220684.1, XP_033174766.1, XP_033174783.1, XP_024220697.1
OG0000291	tr|Q9W5W4|Q9W5W4_DROME, sp|Q24246|DYIN_DROME, tr|Q7KWG3|Q7KWG3_DROME, tr|B5RJJ8|B5RJJ8_DROME, tr|T2FGB0|T2FGB0_DROME, tr|Q8IRZ3|Q8IRZ3_DROME	XP_033178375.1, XP_012244716.1, XP_012244718.1, XP_012244711.1, XP_012244705.1, XP_012244693.1, XP_012244691.1, XP_012244695.1, XP_012244689.1, XP_012244709.1, XP_012244698.1, XP_012244696.1, XP_012244702.1, XP_012244703.1, XP_012244706.1, XP_012244708.1, XP_012244710.1, XP_012244704.1, XP_012244701.1, XP_012244699.1, XP_024225569.1, XP_033178373.1
OG0000292	sp|P02299|H3_DROME	XP_003489849.1, XP_033176790.1, XP_003492166.1, XP_003489853.1
OG0000292	sp|C0HL66|H33A_DROME	XP_012244001.1, XP_024225373.1, XP_024225371.1, XP_003485156.1
OG0000292	sp|C0HL67|H33B_DROME	XP_012244013.1
OG0000301	tr|M9PCG3|M9PCG3_DROME	XP_012247920.1, XP_003494036.1, XP_033179904.1, XP_012247918.1, XP_012247919.1
OG0000302	tr|A0A6M3Q6L8|A0A6M3Q6L8_DROME	XP_012237193.1, XP_033175019.1, XP_012237195.1, XP_033175012.1, XP_033175025.1, XP_033175024.1, XP_033175017.1, XP_033175015.1, XP_033175016.1, XP_033175013.1, XP_033175014.1, XP_033175018.1, XP_033175032.1, XP_033175029.1, XP_033175030.1, XP_033175028.1, XP_033175031.1, XP_012237198.1, XP_033175026.1, XP_012237197.1, XP_012237196.1, XP_033175027.1, XP_033175022.1, XP_033175020.1, XP_033175023.1
OG0000303	tr|M9PCD4|M9PCD4_DROME	XP_033178059.1, XP_033178061.1, XP_033178045.1, XP_033178054.1, XP_033178086.1, XP_033178082.1, XP_033178093.1, XP_033178079.1, XP_033178044.1, XP_033178050.1, XP_033178057.1, XP_012244450.1, XP_012244441.1, XP_033178055.1, XP_012244468.1, XP_003485209.1, XP_033178072.1
OG0000305	tr|Q9W002|Q9W002_DROME	XP_024227498.2
OG0000306	tr|A0A0B4K7Q6|A0A0B4K7Q6_DROME	XP_033179093.1, XP_033179094.1, XP_024226368.1, XP_033179090.1, XP_003492822.1, XP_033179089.1, XP_033179088.1, XP_033179091.1, XP_012246112.1, XP_033179092.1
OG0000306	tr|Q9VAS8|Q9VAS8_DROME	XP_012242024.1, XP_003490179.1, XP_024223955.1, XP_012242025.1
OG0000307	sp|Q24498|RYR_DROME	XP_033174529.1, XP_033174534.1, XP_033174516.1, XP_024220613.1, XP_024220608.1, XP_033174507.1, XP_033174510.1, XP_033174521.1, XP_033174525.1, XP_033174532.1, XP_012250199.1
OG0000313	tr|Q9V4E7|Q9V4E7_DROME	XP_003490309.1, XP_012242312.1, XP_012242313.1, XP_012242315.1, XP_024222087.1, XP_024222086.1, XP_003487999.1, XP_033175657.1
OG0000314	sp|P35500|SCNA_DROME	XP_024222846.1, ARH02610.1
OG0000315	tr|Q9XZ10|Q9XZ10_DROME	XP_003486240.1, XP_024220329.1, XP_003486241.1, XP_012250272.1
OG0000315	tr|Q9VE75|Q9VE75_DROME, tr|Q9VE77|Q9VE77_DROME, tr|Q9VKF6|Q9VKF6_DROME	XP_012236617.1, XP_012236613.1, XP_012236637.1
OG0000320	tr|Q9NGK5|Q9NGK5_DROME	XP_033176850.1
OG0000320	tr|A0A6H2EDS1|A0A6H2EDS1_DROME	XP_033175178.1, XP_003487310.1
OG0000320	tr|Q9VIC6|Q9VIC6_DROME	XP_003488839.2
OG0000326	sp|P08120|CO4A1_DROME	XP_024225532.1
OG0000326	tr|Q9VMV5|Q9VMV5_DROME	XP_003491890.1, XP_024225535.1
OG0000329	sp|Q9NHE5|CAPS_DROME	XP_024223806.1, XP_033176958.1, XP_033176957.1, XP_012241929.1, XP_024223807.1, XP_012241930.1
OG0000330	sp|Q9VYN8|TENA_DROME	XP_012240989.1, XP_012241004.1, XP_012240996.1
OG0000330	sp|O61307|TENM_DROME	XP_033175144.1, XP_033175143.1, XP_033175142.1, XP_033175145.1, XP_033175140.1, XP_033175141.1, XP_033175139.1, XP_033175138.1, XP_033175136.1
OG0000331	sp|Q9V9J3|SRC42_DROME	XP_003487134.1, XP_033175082.1, XP_003487132.1, XP_012237277.1
OG0000335	tr|Q59DP9|Q59DP9_DROME	XP_033176470.1, XP_033176469.1, XP_033176466.1, XP_033176467.1, XP_033176468.1, XP_012240661.1, XP_033176465.1, XP_033176463.1, XP_033176457.1, XP_033176460.1, XP_033176462.1, XP_033176459.1, XP_033176458.1, XP_033176464.1
OG0000348	tr|A1ZBL9|A1ZBL9_DROME	XP_012244965.1, XP_033178512.1, XP_033178523.1, XP_033178522.1, XP_033178521.1, XP_033178520.1, XP_033178524.1, XP_033178518.1, XP_033178519.1, XP_033178517.1, XP_033178516.1, XP_033178515.1, XP_033178511.1, XP_033178514.1, XP_033178513.1, XP_033178527.1, XP_033178526.1, XP_033178525.1, XP_012244978.1, XP_012244985.1, XP_012244981.1, XP_012244980.1, XP_033178528.1, XP_012244982.1, XP_012244984.1
OG0000349	tr|Q9VC63|Q9VC63_DROME	XP_012237084.1, XP_012237083.1, XP_012237082.1
OG0000349	tr|Q9VLP5|Q9VLP5_DROME	XP_012239735.1, XP_012239734.1
OG0000349	tr|A0A0B4KGI0|A0A0B4KGI0_DROME, tr|Q8MT77|Q8MT77_DROME, tr|Q7KT22|Q7KT22_DROME, tr|Q9VGM1|Q9VGM1_DROME, tr|Q9VLN6|Q9VLN6_DROME, tr|Q9VJ21|Q9VJ21_DROME, sp|P91660|L259_DROME	XP_033177299.1, XP_003490530.1, XP_012242446.1, XP_003490531.1, XP_012242449.1, XP_033177257.1, XP_003490441.1, XP_033177256.1
OG0000354	tr|Q9VAV5|Q9VAV5_DROME	XP_033178679.1
OG0000354	tr|Q9VWZ3|Q9VWZ3_DROME	XP_033174733.1
OG0000354	tr|Q9VZ77|Q9VZ77_DROME	XP_033180303.1, XP_012248682.2, XP_033180304.1
OG0000354	tr|Q7KVA7|Q7KVA7_DROME	XP_024223548.2, XP_033180824.1, XP_033180825.1
OG0000354	tr|A0A6H2EJG3|A0A6H2EJG3_DROME	XP_033175116.1, XP_033178076.1, XP_033178074.1, XP_033178075.1, XP_033178078.1, XP_033178073.1, XP_033178077.1, XP_012244146.2
OG0000355	sp|Q9VT28|FRY_DROME	XP_033175527.1
OG0000361	sp|Q9W1B0|GEK_DROME	XP_033176760.1, XP_033176759.1, XP_024223610.1, XP_033176758.1, XP_003489761.1, XP_033176761.1
OG0000362	sp|P12982|PP12_DROME, sp|Q05547|PP13_DROME	XP_003490733.1
OG0000362	sp|P48462|PP1B_DROME	XP_012247951.1, XP_012247959.1
OG0000362	tr|Q7KVM5|Q7KVM5_DROME, tr|A8QI94|A8QI94_DROME, tr|Q9VQL9|Q9VQL9_DROME, sp|P11612|PPY_DROME, tr|Q9W2A5|Q9W2A5_DROME, tr|Q5LJN2|Q5LJN2_DROME	XP_012247933.1, XP_012247941.1, XP_033180245.1, XP_033180241.1, XP_024227550.2, XP_033180254.1, XP_033180243.1
OG0000375	sp|Q9V5Z7|AQP_DROME	XP_003487534.1, XP_012237980.1, XP_003487533.1
OG0000375	tr|D3DMU9|D3DMU9_DROME	XP_012238040.1, XP_012238039.1
OG0000389	sp|Q9W4E2|NBEA_DROME	XP_024224914.1, XP_024224924.1, XP_024224922.1, XP_024224921.1, XP_024224918.1, XP_024224917.1, XP_024224915.1, XP_024224916.1, XP_024224927.1, XP_024224919.1, XP_024224920.1, XP_024224923.1, XP_024224926.1, XP_033177838.1, XP_033177839.1, XP_024224925.1
OG0000390	sp|P92208|JNK_DROME	XP_033174351.1, XP_012250179.1, XP_012250181.1, XP_012250183.1
OG0000391	sp|P29993|ITPR_DROME	XP_024228402.1, XP_033180844.1, XP_033180842.1, XP_033180841.1, XP_033180843.1, XP_033180845.1, XP_012249863.1, XP_024228397.1, XP_024228394.1, XP_024228398.1, XP_033180846.1, XP_033180847.1, XP_024228400.1, XP_024228401.1
OG0000402	sp|Q9NB71|HIW_DROME	XP_012238250.1, XP_012238249.1, XP_033175510.1, XP_033175509.1, XP_012238245.1, XP_012238244.1, XP_012238246.1, XP_012238247.1
OG0000403	tr|Q9VKP2|Q9VKP2_DROME, sp|Q94920|VDAC_DROME	XP_024221062.1
OG0000404	tr|Q9VKW4|Q9VKW4_DROME	XP_003492745.1, XP_003492746.1
OG0000410	sp|P56721|COLL_DROME	XP_012241135.1, XP_024223460.1, XP_024223461.1
OG0000411	sp|P20228|DCE_DROME	XP_003494604.1, XP_003494603.1
OG0000411	tr|Q24062|Q24062_DROME	XP_003489355.1
OG0000411	tr|Q9VPH6|Q9VPH6_DROME	XP_012237167.1
OG0000418	tr|Q7KVD1|Q7KVD1_DROME	XP_033174874.1, XP_012236399.1, XP_033174867.1, XP_024220880.1, XP_024220873.1, XP_033174876.1
OG0000419	tr|Q9VVT8|Q9VVT8_DROME	XP_003493242.1
OG0000430	tr|Q9VN58|Q9VN58_DROME	XP_012246543.1, XP_033179266.1, XP_012246541.1, XP_012246540.1, XP_024226537.1, XP_012246539.1
OG0000431	tr|A0A0B4K6W9|A0A0B4K6W9_DROME	XP_033178331.1, XP_012244549.1, XP_033178330.1, XP_012244548.1, XP_033178329.1, XP_012244546.1, XP_012244543.1, XP_033178324.1, XP_012244547.1, XP_024225428.1, XP_012244545.1, XP_024225427.1, XP_012244537.1, XP_033178326.1, XP_033178325.1, XP_033178328.1, XP_033178327.1
OG0000432	tr|A0A0B4LG94|A0A0B4LG94_DROME	XP_024220195.1, XP_033175420.1
OG0000432	sp|P13607|ATNA_DROME	XP_033176131.1, XP_012239894.1, XP_012239893.1, XP_012239888.1, XP_012239889.1, XP_012239890.1, XP_012239891.1, XP_012239892.1
OG0000433	tr|M9NEA1|M9NEA1_DROME	XP_012237549.1, XP_012237548.2, XP_012237547.1
OG0000447	sp|Q94900|GLUCL_DROME	XP_033179247.1, XP_033179248.1, XP_033179252.1, XP_033179249.1, XP_033179245.1, XP_012246429.1, XP_012246432.1, XP_033179246.1, XP_012246427.1, XP_012246431.1, XP_033179251.1, XP_033179250.1, XP_024226496.1
OG0000448	sp|P29844|BIP_DROME	XP_012242905.1, XP_003490896.1
OG0000448	sp|P11147|HSP7D_DROME	XP_012249672.1
OG0000448	sp|P29843|HSP7A_DROME	XP_003487103.1, XP_024221267.1
OG0000460	sp|P48456|PP2B1_DROME, sp|Q27889|PP2B2_DROME, sp|Q9VXF1|PP2B3_DROME	XP_033178643.1, XP_033178644.1, XP_012245223.3, XP_012245225.2, XP_033178641.1, XP_033178640.1, XP_033178639.1, XP_033178642.1
OG0000461	tr|Q9VC05|Q9VC05_DROME	XP_012238963.1, XP_024222210.1, XP_012238959.1, XP_012238960.1, XP_012238961.1, XP_024222209.1, XP_024222208.1, XP_003488123.2, XP_033175762.1, XP_012238958.1, XP_024222207.1, XP_012238962.1, XP_012238964.1
OG0000462	tr|Q5U0V7|Q5U0V7_DROME	XP_003492036.1
OG0000471	sp|Q9VW71|FAT2_DROME	XP_024224942.1, XP_033177847.1, XP_024224940.1, XP_024224938.1, XP_024224939.1, XP_024224941.1, XP_012243644.2, XP_033177848.1
OG0000472	sp|P61857|TBB2_DROME, sp|Q24560|TBB1_DROME	XP_012239637.1
OG0000472	sp|P08841|TBB3_DROME	XP_033176041.1, XP_003488580.1
OG0000472	tr|Q8MST5|Q8MST5_DROME	XP_012239638.1
OG0000473	tr|A1Z6Z8|A1Z6Z8_DROME	XP_012248575.1, XP_024227628.1, XP_024227627.1, XP_024227624.1, XP_024227625.1, XP_024227626.1, XP_003494466.1
OG0000475	sp|Q9XZH6|VATG_DROME	XP_012249386.1
OG0000488	sp|A1Z7G7|LPHN_DROME	XP_033180455.1, XP_033180454.1, XP_033180456.1, XP_033180453.1, XP_033180451.1, XP_033180452.1
OG0000489	sp|Q9VXG4|ANX11_DROME	XP_012241323.1, XP_012241324.1, XP_012241325.1, XP_012241326.1
OG0000489	sp|P22464|ANXB9_DROME	XP_012243449.1, XP_033177733.1, XP_003491156.1, XP_012243451.1, XP_012241965.1
OG0000490	tr|A8DYB7|A8DYB7_DROME	XP_012243346.1, XP_033177681.1, XP_012243342.1, XP_012243344.1, XP_012243343.1, XP_024224727.1, XP_024224726.1, XP_024224730.1, XP_024224729.1, XP_012243345.1, XP_024224725.1, XP_012243350.1
OG0000491	tr|Q5BI62|Q5BI62_DROME	XP_012242652.1, XP_012242651.1, XP_012242648.1, XP_012242650.1, XP_024224329.1, XP_033177441.1
OG0000492	sp|P40791|MEF2_DROME	XP_012238921.1, XP_012238922.1, XP_024222215.1, XP_024222219.1, XP_024222217.1, XP_033175727.1, XP_012238923.1, XP_024222218.1
OG0000493	tr|M9PI02|M9PI02_DROME	XP_003494754.1, XP_003494753.1
OG0000493	tr|Q9VL21|Q9VL21_DROME	XP_012249340.1
OG0000494	tr|Q9VGK3|Q9VGK3_DROME	XP_003490500.1
OG0000494	sp|P48375|FKB12_DROME	XP_012245503.1
OG0000495	tr|A0A0B4KEZ2|A0A0B4KEZ2_DROME	XP_012239613.1
OG0000496	tr|Q9V3E7|Q9V3E7_DROME	XP_003485968.1
OG0000504	sp|A6MHQ4|NKAIN_DROME	XP_033178706.1, XP_024225960.1, XP_012245380.1, XP_012245378.1, XP_024225961.1, XP_024225959.1, XP_012245379.1
OG0000505	tr|Q9VPZ7|Q9VPZ7_DROME, tr|M9PC46|M9PC46_DROME, tr|Q9W213|Q9W213_DROME	XP_033178394.1, XP_003491930.1
OG0000506	tr|A1Z851|A1Z851_DROME	XP_024227666.1, XP_012248519.1, XP_012248518.1, XP_012248521.1, XP_012248520.1, XP_024227667.1
OG0000507	tr|Q9VSX7|Q9VSX7_DROME	XP_024222820.1, XP_003488816.1, XP_012239981.1
OG0000508	sp|P16378|GNAO_DROME	XP_003491826.1
OG0000508	sp|P20353|GNAI_DROME	XP_003492041.1
OG0000509	sp|Q9W197|5NT3B_DROME	XP_003488734.1
OG0000517	sp|Q9VR59|VIP1_DROME	XP_033179838.1, XP_033179837.1, XP_033179839.1, XP_033179836.1, XP_012247707.1
OG0000518	tr|A8DY93|A8DY93_DROME	XP_012241209.1, XP_024223496.1, XP_012241208.1, XP_024223498.1, XP_024223497.1, XP_033176686.1, XP_012241212.1, XP_012241214.1, XP_033176688.1, XP_033176687.1, XP_033176684.1, XP_033176685.1, XP_024223500.1
OG0000519	tr|Q8SYD9|Q8SYD9_DROME	XP_003493041.1, XP_012246452.1, XP_012246456.1, XP_012246454.1, XP_012246457.1, XP_024226489.1, XP_012246459.1
OG0000520	tr|Q9VGH5|Q9VGH5_DROME	XP_012247542.1, XP_012247541.1
OG0000521	tr|Q9VW83|Q9VW83_DROME	XP_012243202.1
OG0000522	sp|Q9VEW2|SERFL_DROME	XP_003488946.1
OG0000535	tr|Q0KIF2|Q0KIF2_DROME	XP_012246749.1, XP_012246748.1
OG0000535	tr|Q9V4A0|Q9V4A0_DROME	XP_033176029.1
OG0000535	tr|Q0KI42|Q0KI42_DROME, tr|Q9TVI0|Q9TVI0_DROME, tr|A0A0B4KHJ0|A0A0B4KHJ0_DROME, tr|Q9VMP3|Q9VMP3_DROME, tr|Q9VMP4|Q9VMP4_DROME, tr|Q9VPV3|Q9VPV3_DROME, tr|Q0E8N6|Q0E8N6_DROME, tr|Q9VDH5|Q9VDH5_DROME	XP_012247143.1, XP_033179599.1, XP_033179598.1, XP_024226920.1, XP_033179601.1
OG0000536	sp|Q9NB04|PATJ_DROME, tr|A0A0B4LIC4|A0A0B4LIC4_DROME	XP_033176196.1, XP_012240014.1, XP_033176197.1
OG0000537	tr|Q8IN89|Q8IN89_DROME	XP_024222168.1, XP_012238977.1, XP_012238976.1, XP_003488125.1, XP_003488124.1
OG0000537	tr|A0A6F7R657|A0A6F7R657_DROME	XP_012249013.1, XP_003494775.1
OG0000551	tr|Q8MLV6|Q8MLV6_DROME, tr|R9PY62|R9PY62_DROME	XP_012247024.1, XP_033179533.1
OG0000552	sp|P17972|KCNAW_DROME	XP_033179343.1, XP_033179340.1, XP_033179342.1, XP_033179341.1
OG0000552	tr|A8DYR5|A8DYR5_DROME	XP_003493220.1
OG0000553	tr|A1ZBW0|A1ZBW0_DROME	XP_033176194.1
OG0000554	tr|Q9W3Q5|Q9W3Q5_DROME	XP_012238673.1, XP_033175571.1, XP_024221953.1, XP_012238675.1
OG0000555	tr|Q7KRW4|Q7KRW4_DROME	XP_003487612.1
OG0000555	tr|Q0KI00|Q0KI00_DROME, tr|Q95SR0|Q95SR0_DROME, tr|Q9VAM2|Q9VAM2_DROME, tr|Q9W2S7|Q9W2S7_DROME, tr|Q9W2S8|Q9W2S8_DROME, tr|Q9VTL4|Q9VTL4_DROME, tr|Q9VJN2|Q9VJN2_DROME, tr|Q9W1S1|Q9W1S1_DROME, tr|A0A0B4KH77|A0A0B4KH77_DROME, tr|Q9VFW9|Q9VFW9_DROME, tr|Q9VFX0|Q9VFX0_DROME, tr|Q8INH6|Q8INH6_DROME, tr|Q8IN25|Q8IN25_DROME, tr|Q9VD85|Q9VD85_DROME, tr|Q9VD87|Q9VD87_DROME, tr|Q8MRN5|Q8MRN5_DROME, tr|Q8SWX4|Q8SWX4_DROME	XP_012241138.1, XP_012241136.1, XP_003489605.1, XP_012241140.1, XP_012241139.1
OG0000556	tr|Q0E8Q7|Q0E8Q7_DROME	XP_012240006.1, XP_003488854.2
OG0000566	tr|A0A0B4KGL0|A0A0B4KGL0_DROME	XP_033175935.1
OG0000567	tr|Q8INK3|Q8INK3_DROME	XP_003494760.1, XP_003494759.1
OG0000569	tr|Q8IQZ7|Q8IQZ7_DROME	XP_003489774.1, XP_012241404.1
OG0000570	tr|Q7K485|Q7K485_DROME	XP_003489428.1
OG0000587	tr|Q9VNP7|Q9VNP7_DROME	XP_033178168.1, XP_033178169.1, XP_033178170.1, XP_033178167.1
OG0000587	tr|Q9VVM0|Q9VVM0_DROME	XP_012241374.1, XP_012241375.1
OG0000588	tr|Q0E8R3|Q0E8R3_DROME, tr|Q8IP90|Q8IP90_DROME	XP_033178014.1
OG0000589	tr|M9NEH9|M9NEH9_DROME	XP_024221593.1, XP_024221591.1, XP_024221592.1, XP_033175239.1, XP_033175238.1, XP_033175240.1
OG0000590	sp|P26686|SRR55_DROME	XP_012239168.1, XP_012239147.1, XP_012239145.1, XP_012239146.1, XP_012239149.1, XP_012239167.1, XP_012239153.1, XP_012239160.1, XP_012239162.1, XP_003488293.2, XP_012239164.1, XP_012239152.1, XP_012239157.1, XP_012239163.1, XP_012239161.1, XP_012239165.1, XP_012239151.1, XP_012239150.1, XP_012239154.1
OG0000606	tr|Q9VY00|Q9VY00_DROME	XP_033174624.1, XP_024220624.1, XP_003486437.2, XP_012236264.1, XP_024220623.1, XP_024220625.1, XP_033174623.1, XP_033174621.1, XP_033174622.1, XP_012246720.1, XP_012246719.1, XP_033179345.1, XP_024227510.1, XP_012249205.3, XP_033180075.1, XP_003494176.1, XP_003486606.1, XP_012236491.1, XP_024227544.1, XP_003494172.1, XP_033180074.1, XP_003494178.1, XP_012248181.1, XP_033174315.1, XP_033174316.1
OG0000606	tr|Q9VY08|Q9VY08_DROME	XP_012250041.1
OG0000606	tr|Q8MQY9|Q8MQY9_DROME	XP_012250024.1
OG0000606	tr|Q9VY06|Q9VY06_DROME	XP_012250040.1
OG0000606	tr|Q9VY11|Q9VY11_DROME, tr|Q8SXY8|Q8SXY8_DROME, tr|Q9VY09|Q9VY09_DROME, tr|Q9VY10|Q9VY10_DROME, tr|Q9VY02|Q9VY02_DROME	XP_033174317.1
OG0000606	sp|P18173|DHGL_DROME	XP_024227476.1, XP_024227477.1, XP_003494150.1
OG0000607	tr|A0A0B4KHL4|A0A0B4KHL4_DROME	XP_033180423.1, XP_012248958.1, XP_033180425.1, XP_024227896.1, XP_024227897.1, XP_033180424.1, XP_024227899.1, XP_024227898.1, XP_012248961.1, XP_012248959.1, XP_012248957.1, XP_012248960.1, XP_012248956.1
OG0000608	sp|P91685|GRM_DROME	XP_033180170.1, XP_033180169.1, XP_033180168.1, XP_033180167.1, XP_033180166.1, XP_003494346.1, XP_024227602.1, XP_024227606.1, XP_024227604.1, XP_012248445.1, XP_012248442.1
OG0000608	tr|A0A0B4KF15|A0A0B4KF15_DROME	XP_033174345.1
