Orthogroup	mouse	finch
OG0000067	NP_001239384.1, NP_001239382.1, NP_001239385.1, AAH52462.1, XP_006523944.1, XP_006523943.1, XP_006523942.1, XP_006523941.1, XP_036016311.1, XP_017172838.1, XP_036016310.1, XP_006523939.1, XP_030105455.1, XP_006523937.1, XP_006523938.1, XP_036016309.1, XP_006523940.1, BAA05886.1, prf||2103274A, NP_035348.2, sp|B0V2N1.1|PTPRS_MOUSE, EDL38168.1, CAA57732.1	XP_030112685.1, XP_030112684.1, XP_030112682.1, XP_030112683.1, XP_030112687.1, XP_030112694.1, XP_032599734.1, XP_030112691.1, XP_030112688.1, XP_041566892.1, XP_030112686.1, XP_030112690.1, XP_041566891.1, XP_030112695.1
OG0000067	AAH83188.1	XP_030112702.1, XP_030112701.1
OG0000067	XP_030109199.1, XP_036019753.1, XP_036019755.1, XP_036019754.1, sp|Q64487.3|PTPRD_MOUSE	NP_001171001.2
OG0000067	XP_036019751.1, XP_030109197.1, XP_036019734.1, XP_036019731.1, XP_036019732.1, XP_036019736.1, XP_036019735.1, XP_036019733.1, XP_036019737.1, XP_036019738.1	XP_032599919.1, XP_041566958.1, XP_032599916.1, XP_032599928.1, XP_041566960.1, XP_032599927.1, XP_032599924.1, XP_032599920.1, XP_032599921.1, XP_041566962.1, XP_032599923.1, XP_032599926.1, XP_032599922.1, XP_032599912.1, XP_032599910.1, XP_030113093.1, XP_032599913.1, XP_032599917.1, XP_032599911.1
OG0000067	XP_036019747.1, XP_036019745.1, XP_036019743.1, XP_036019761.1, XP_036019760.1, XP_030109201.1, XP_036019759.1, XP_036019757.1, XP_036019756.1, XP_036019758.1	XP_032599936.1
OG0000067	NP_035341.2, AAI41410.1, XP_036019771.1, NP_001339558.1	XP_032599930.1, XP_032599932.1, XP_041566963.1, XP_032599951.1, XP_032599952.1, XP_032599954.1
OG0000067	XP_036019766.1, XP_036019762.1, XP_036019764.1, XP_036019767.1, XP_011248265.1, EDL31049.1, XP_036019763.1	XP_032599938.1, XP_032599937.1, XP_032599939.1, XP_032599940.1
OG0000067	XP_006502932.1, sp|A2A8L5.1|PTPRF_MOUSE, NP_035343.2, AAG40194.1, XP_006502928.1, XP_036019778.1, XP_036019780.1, XP_036019777.1, XP_030109223.1, XP_036019785.1, XP_006502939.1, XP_030109222.1, XP_036019784.1, XP_036019782.1, XP_036019781.1, XP_036019779.1, XP_006502937.1, XP_006502938.1, XP_006502927.1, XP_006502930.1, XP_036019773.1, XP_006502935.1, XP_036019775.1, XP_030109220.1, XP_036019786.1, XP_036019776.1, XP_036019783.1, XP_030109221.1, XP_006502934.1, XP_036019772.1, XP_036019774.1, XP_006502931.1, XP_006502929.1, XP_006502933.1	XP_041573693.1, XP_030134789.1, XP_030134783.1, XP_030134788.1, XP_030134786.1, XP_030134800.1, XP_030134804.1, XP_030134801.1, XP_030134799.1, XP_030134798.1, XP_030134792.1, XP_032605648.1, XP_030134797.1, XP_041573695.1, XP_030134785.1, XP_030134782.1, XP_041573694.1, XP_030134784.1, XP_030134787.1, XP_030134791.1
OG0000074	AAV48954.1, AAW62538.1, AAW21984.1, AAW63076.1, AAW63077.1, AAW63079.1, CAD22806.1, CAZ39562.1, ARO78551.1, ARO78699.1, ARO78399.1, ARO78607.1, ARO78486.1, ARO78599.1, ARO78724.1, ARO78670.1, pdb|4IOF|C, pdb|4IOF|E, pdb|7DFC|H, pdb|6BAE|B, pdb|5XHF|B, pdb|6B9Z|B, pdb|5XHG|B, pdb|5XHG|D, pdb|5XHF|D, pdb|6BAH|B, pdb|1TZH|H, pdb|1TZI|B, pdb|1TZH|B, pdb|4K9E|H, pdb|7DFB|H, pdb|6B70|E, pdb|6BF7|E, pdb|6B70|C, pdb|6B7Z|E, pdb|6BF9|E, pdb|6BF7|C, pdb|6B7Z|C, pdb|6BF9|C, pdb|5CJO|H, pdb|6OT0|H, pdb|7DFA|H, pdb|7DF9|H, pdb|4JQI|H, pdb|2R8S|H, pdb|6B14|H, pdb|4Q9Q|H, pdb|7SZU|H, pdb|4Q9R|H, pdb|3IVK|H, pdb|3IVK|A, pdb|4KZE|H, pdb|4KZD|H, pdb|6B3K|H, pdb|6X5M|H, pdb|6X5N|H, pdb|6X5M|h, pdb|6X5N|h, pdb|7ZYI|H, pdb|4I18|A, pdb|4I18|H, pdb|3EFD|H, pdb|3EFF|B, pdb|3EFF|D, pdb|3PJS|B, pdb|3PJS|D, pdb|7F07|C, pdb|6XTG|H, pdb|6XUD|H, pdb|7R8A|C, pdb|7R87|C, pdb|7R89|C, pdb|7R8B|C, pdb|7R88|C, pdb|6XUK|H, pdb|5VH3|H, pdb|5VH3|A, pdb|6X5E|B, pdb|6X5E|H, pdb|6NUY|H, pdb|7UEN|H, pdb|6E4Z|H, pdb|6E4Y|H, pdb|6MV5|H, pdb|7KLC|H, pdb|7KKZ|H, pdb|6OBD|B, pdb|6OBD|H, AAW63080.1, AAW63075.1, AAV48958.1, AAV48959.1, ARO78617.1, ARO78412.1, ARO78494.1, ARO78432.1, ARO78444.1, AAL15163.1, VTP59574.1, VTP59576.1, pdb|7MY2|A, pdb|7MY2|D, pdb|7MY2|H, AAK39434.2, pdb|5VYF|B, pdb|5VYF|H, pdb|7Q6C|H, pdb|1S3K|H, pdb|1CZ8|H, pdb|1CZ8|Y, pdb|1BJ1|H, pdb|1BJ1|K, pdb|1S78|F, pdb|1S78|D, pdb|1MHP|H, pdb|1MHP|X, pdb|3HR5|J, pdb|3HR5|B, pdb|3HR5|H, pdb|3HR5|I, pdb|4LVH|E, pdb|4LVH|K, pdb|4LVH|H, pdb|4LVH|B, pdb|4F15|E, pdb|4F15|B, pdb|4F15|H, pdb|4F15|K, pdb|2GCY|B, pdb|5F3H|A, pdb|4OJF|H, pdb|3CFK|N, pdb|3CFK|P, pdb|3CFK|H, pdb|3CFJ|B, pdb|3CFK|F, pdb|3CFJ|H, pdb|3CFJ|D, pdb|3CFK|I, pdb|3CFK|D, pdb|6S5A|H, pdb|7V3Q|B, pdb|7V3Q|D, pdb|7V4W|B, pdb|4ZFO|A, pdb|4ZFO|H, pdb|3CFK|B, pdb|3CFJ|F, pdb|3CFK|K, pdb|6NFN|R, pdb|6NFN|B, pdb|6NFN|H, pdb|6NEX|B, pdb|6NEX|H, pdb|6NFN|F, pdb|6NFN|D, pdb|6NFN|J, pdb|6NFN|P, pdb|6NFN|N, pdb|4LF3|E, pdb|4LF3|B, pdb|5F3H|G, pdb|5F3H|E, pdb|5F3H|C, pdb|5F3B|A, pdb|5F3B|E, pdb|6N5E|E, pdb|6N5E|H, pdb|6N5E|G, pdb|6N5D|C, pdb|6N5D|E, pdb|6N5D|L, pdb|6XLI|A, pdb|6XLI|C, pdb|6XLI|H, pdb|3UTZ|B, pdb|3UTZ|C, pdb|3UTZ|F, pdb|7KPJ|A, pdb|7KPJ|C, pdb|7RAH|B, pdb|7O31|H, pdb|7RXC|H, pdb|7RXD|H, pdb|7R9D|H, pdb|1BZ7|B	XP_041568786.1
OG0000077	NP_081397.1, AAR82916.1, sp|Q6TEK5.1|VKORL_MOUSE, AAI38133.1, AAI25316.1, NP_001273311.1, EDL19489.1, BAB26325.1	XP_002196290.1
OG0000077	QPL12588.1, QPL12586.1, QPL12580.1, QPL12602.1, QPL12605.1, QQO58619.1, QPL12620.1, QPL12589.1, QPL12608.1, QPL12604.1, QPL12614.1, QPL12617.1, QPL12616.1, QPL12590.1, QPL12592.1, QPL12581.1, QPL12583.1, QPL12584.1, QPL12603.1, QPL12593.1, QPL12591.1, QPL12582.1, QPL12579.1, EDL17601.1, QPL12596.1, QPL12585.1, QQO58489.1, QQO58604.1, QQO58641.1, QQO58462.1, QQO58477.1	XP_041575461.1
OG0000079	BCG28272.1, AKC99193.1, AKC99245.1, AKC99167.1, AKC99258.1, AKC99219.1, AKC99232.1, AKC99271.1, AKC99182.1, AKC99297.1, AKC99206.1, AKC99284.1, AHG32144.1, BCZ76315.1, AFX73527.1, AHG32053.1, QKJ82482.1, BCG28705.1, BCG28719.1, ABK79257.1, AFX73501.1, AFX73514.1, BCG28285.1, BCG28640.1, AHG32222.1, BCG28905.1, BCG28574.1, AFX73618.1, AHG32287.1, BCG28932.1, AGK29655.1, BCG28246.1, AHG32079.1, YP_001686706.1, BCG28958.1, BCG28454.1, BCG28520.1, BCG28507.1, BCG28653.1, BCG28692.1, BCG29133.1, BCG29079.1, BCG29000.1, BCG29227.1, BCG29026.1, BCG28852.1, AHG32183.1, BCG28986.1, AFX73657.1, BCG28614.1, BCG28324.1, BCG28772.1, AFX73540.1, BCG28865.1, BCG28389.1, AFX73683.1, BCG29174.1, BCG28467.1, ACM24419.1, BCG28363.1, BCG29188.1, AHG32235.1, BCG29039.1, BCG28945.1, BCG28560.1, AFX73631.1, BCG29106.1, BCG29013.1, AFX73605.1, AGK29642.1, AGK29629.1, BCG28428.1, BCG28298.1, AFX73566.1, BCG28785.1, YP_002791050.1, AFX73644.1, BCG28892.1, AKS10759.1, BCG29066.1, AHG32131.1, BCG28812.1, BCG28415.1, AHG32157.1, BCG28601.1, QLM00976.1, AFX73670.1, BCG28971.1, BCG29201.1, AHG32209.1, BCG28376.1, AAT74381.1, BCG28825.1, BCG28666.1, ABK79296.1, BCG28587.1, BCG28878.1, BCG29120.1, BCG28231.1, BCG29052.1, AHG32196.1, AHG32274.1, ABH09677.1, AFX73592.1, BCG29214.1, BCG28759.1, BCG28798.1, BCG28839.1, AHG32170.1, BCG28441.1, AKS10746.1, BCG28627.1, BCG29092.1, BCG28746.1, AKS10733.1, AHG32040.1, BCG28259.1, AGK29615.1, AHG32248.1, ABK79270.1, AHG32261.1, BCG28402.1, BCG28546.1, AFX73488.1, AHG32118.1, ABK79283.1, BCG28350.1, BCG28337.1, AFX73553.1, AFX73579.1, BCG28679.1, YP_220571.1, BCG28480.1, BCG28494.1, BCG29147.1, BCG28918.1, AHG32066.1, BCG29161.1, BCG29240.1, BCG28733.1, AHG32105.1, AHG32092.1, BCZ76263.1, BCZ76289.1, BCG29428.1, BCG29415.1, BCG29510.1, BCG29348.1, BCG29361.1, BCG29441.1, BCG29320.1, BCG29267.1, BCG29280.1, BCG29253.1, BCG29293.1, BCG29401.1, BCG29482.1, BCG29334.1, BCG29454.1, BCG28533.1, AHI52104.1, BCG29388.1, BCZ76302.1, BCG29523.1, BCG29375.1, BCZ76276.1, BCG29306.1, BCG29496.1, BCG29469.1, BCG28311.1	ABD95512.1, ABD95525.1, YP_514827.1, ABD95499.1, ABD62289.1, ABD95538.1
OG0000119	NP_001157643.1, XP_036014396.1, sp|Q02566.2|MYH6_MOUSE, AAA37159.1, AAA37161.1, AAI10701.1, AAA37160.1, AAA37162.1, EDL36313.1, AAI38028.1, EDL36314.1, XP_006518741.1, XP_006518740.1, NP_034986.1, BAE27623.1, AAI21790.1, EDL36311.1, AAL17913.1, BAE41119.1, BAE40973.1, AAI58071.1, AAI58019.1, XP_036014349.1, sp|Q91Z83.1|MYH7_MOUSE, XP_017171330.1, NP_542766.1, NP_001348536.1	XP_030121579.3
OG0000119	BAE34176.1, AAH61145.1, AAH90979.1	XP_030121584.3
OG0000119	pdb|7QIO|M, pdb|7QIN|M, pdb|7QIO|L, pdb|7QIN|L, pdb|7NEP|M, pdb|7NEP|L, BAC30831.1, BAE23716.1	XP_030143355.3
OG0000119	NP_001074719.1, EDL10432.1	XP_041575871.1
OG0000119	XP_017174700.1, sp|A2AQP0.1|MYH7B_MOUSE, XP_017174697.1, XP_017174699.1, XP_017174696.1, XP_006500110.1, XP_017174695.1, XP_017174698.1, XP_036018393.1, XP_036018392.1, EDL06136.1, NP_001078847.1	XP_030141858.1, XP_041576100.1, XP_030144872.3
OG0000119	BAC32210.1, BAC32206.1, BAC34988.1, XP_036012983.1, sp|Q61879.2|MYH10_MOUSE, NP_780469.1, AAH89011.1, XP_017170324.1, BAE27998.1, AAH59863.1, AAH98465.1, EDL10453.1, XP_017170323.1, XP_006534552.1, XP_036012982.1	XP_041575847.1, XP_030143442.3, XP_030143444.3, XP_041575848.1
OG0000119	NP_038635.2, EDK97391.1	XP_012432819.3
OG0000119	BAE27776.1, BAE27763.1, BAE27765.1, CAC85955.1, BAE27761.1, BAE27772.1, BAE27773.1, BAE27766.1, BAE27768.1, BAE27767.1, BAE27777.1, BAE27778.1, BAE27783.1, BAE27785.1, BAE27829.1, EDL29650.1, BAE27906.1, sp|Q8VDD5.4|MYH9_MOUSE, BAE27894.1, NP_071855.2	XP_030118937.3
OG0000123	XP_006529168.1	XP_041573779.1
OG0000123	XP_017168219.1, XP_017168284.1, XP_017168255.1, XP_017168313.1, XP_017168234.1, XP_030099789.1, XP_011246211.1, XP_030099786.1, XP_017168201.1, XP_017168067.1, XP_017168117.1, XP_017168131.1, XP_017168102.1, XP_017168149.1, XP_017168171.1, XP_017168108.1, AAI50751.1, XP_017168337.1, XP_011246218.1, XP_030100014.1, EDL39414.1, NP_033912.2, sp|Q61290.1|CAC1E_MOUSE, AAA59206.1, XP_036011834.1	XP_041573778.1
OG0000123	XP_017170644.1, XP_006497701.1, XP_006497700.1, XP_017170629.1, XP_006497689.1, XP_006497690.1, XP_006497698.1, XP_017170630.1, XP_006497692.1, XP_006497691.1, XP_006497693.1, XP_017170645.1, XP_017170635.1, XP_006497694.1, sp|O55017.1|CAC1B_MOUSE, NP_001035993.1, AAB97840.1, XP_006497696.1, XP_006497695.1, XP_006497697.1, NP_031605.2, AAB60437.1, EDL08175.1, EDL08174.1	XP_041575652.1, XP_041575651.1, XP_030142635.1, XP_041575654.1, XP_041575650.1, XP_041575648.1, XP_041575646.1, XP_041575649.1, XP_041575647.1, XP_041575638.1, XP_041575644.1, XP_041575642.1, XP_041575643.1, XP_041575641.1, XP_041575639.1, XP_041575645.1, XP_032607365.1, XP_041575640.1, XP_041575653.1
OG0000123	EDL10945.1, EDL10946.1, NP_001238989.1, BAB85611.1, BAA33546.1, NP_062528.2, CAE30292.1, AAF86764.1, sp|Q9JIS7.1|CAC1F_MOUSE, XP_030107268.1, ACM24798.1, sp|Q02789.3|CAC1S_MOUSE, NP_001074492.1, BAE25427.1, BAE24989.1, EDL39558.1, NP_055008.2, NP_001389878.1, AAI34370.1, BAA84110.1, AAC52940.1, BAB85612.1, NP_001238990.1, AAW56205.1, NP_031604.3, sp|P97445.2|CAC1A_MOUSE, BAE27823.1, XP_006530654.1, XP_030099121.1, XP_030099122.1, XP_011246587.1, XP_036009625.1, XP_030099120.1, XP_006530651.1, XP_006530656.1, XP_006530659.1, XP_006530661.1, XP_006530663.1, XP_006530660.1, XP_006530652.1, XP_006530662.1, XP_006530658.1	XP_041567578.1
OG0000170	AGY29830.1, BCG29218.1, ANV22330.1, ANV22331.1, ANV22269.1, ANV22270.1, ANV22268.1, BCG29271.1, ANV22319.1, ANV22337.1, AGY29817.1, AGY29847.1, ANV22276.1, ANV22287.1, ANV22288.1, ANV22292.1, ANV22286.1, ANV22289.1, ANV22291.1, ANV22290.1, ALR88729.1, ALR88721.1	ABB91529.1
OG0000170	AHG32070.1	AAR84633.1, ABD95541.1, ABD95528.1, ABD95502.1, ABD62292.1, ABD95515.1, YP_514830.1
OG0000173	BAE35317.1, BAE39233.1, BAE39142.1	XP_030131494.3, XP_030131493.3
OG0000173	BAE34866.1, BAE31121.1, BAE31194.1	XP_012429835.4
OG0000173	BAE39761.1	XP_030131491.3
OG0000176	XP_011238760.1, XP_030109137.1, XP_011238756.1, XP_011238757.1, UML14113.1, sp|Q924X6.2|LRP8_MOUSE, NP_444303.2, EDL30769.1, XP_011238761.1, XP_011238762.1, UML14094.1, UML14121.1, UML14102.1, UML14101.1, UML14098.1, UML14137.1, UML14150.1, UML14148.1, UML14128.1, UML14126.1, UML14143.1, UML14130.1, UML14138.1, UML14135.1, UML14149.1, UML14151.1, UML14124.1, XP_011238758.1, BAB46965.1, XP_017175492.1, UML14095.1, XP_036019646.1, UML14109.1, UML14139.1, UML14110.1, UML14141.1, UML14107.1, UML14115.1, UML14145.1, UML14106.1, UML14129.1, UML14117.1, UML14104.1, UML14153.1, UML14156.1, UML14111.1, UML14147.1, UML14158.1, UML14154.1, UML14103.1, XP_011238763.1, UML14123.1, UML14093.1, XP_011238764.1, XP_036019649.1, XP_036019647.1, XP_036019648.1	XP_030134615.3
OG0000176	XP_036019663.1, XP_036019662.1, NP_001355982.1, NP_001355983.1, BAC30054.2, XP_036019664.1, XP_036019661.1, XP_030109142.1, XP_030109144.1, XP_030109141.1, XP_030109139.1, XP_036019658.1, XP_030109143.1, XP_036019660.1, XP_036019659.1, NP_001355981.1, CAC38356.1, NP_001074395.1, UML14091.1, XP_011238769.1, UML14132.1, UML14133.1, UML14105.1, UML14114.1, UML14099.1, UML14144.1, XP_036019653.1, UML14096.1, XP_036019655.1, NP_001355980.1, XP_036019656.1, XP_036019657.1, XP_036019652.1, XP_036019654.1, UML14136.1, XP_011238765.1, XP_036019651.1, XP_036019650.1, XP_011238767.1, XP_011238766.1, XP_030109138.1, UML14152.1, UML14100.1, UML14122.1, UML14097.1, UML14118.1, UML14131.1, UML14146.1, UML14157.1, UML14108.1, UML14134.1, UML14140.1, XP_011238768.1, UML14092.1, UML14116.1, UML14112.1, UML14120.1, UML14142.1, UML14125.1, UML14155.1, UML14127.1, UML14119.1	XP_030134616.3
OG0000177	XP_006528186.1, sp|P70175.1|DLG3_MOUSE, EDL14165.1, NP_058027.1, BAA13249.1, NP_001277331.1, AAH94368.1, NP_001171249.1	XP_030128862.1, XP_030128864.1, XP_030128865.1
OG0000177	XP_006528187.1	XP_030128860.1
OG0000177	XP_006507843.1	XP_030142515.1, XP_030142418.3
OG0000177	XP_006507841.1	XP_030142397.3
OG0000177	EDL06731.1, XP_036008935.1	XP_032607226.2
OG0000177	XP_036008927.1	XP_032607211.2
OG0000177	XP_036008929.1	XP_012425356.1
OG0000177	XP_036008924.1	XP_032607186.1
OG0000177	XP_036008932.1	XP_032607220.2
OG0000177	XP_036012179.1, NP_001357601.1	XP_041568160.1
OG0000177	XP_017172358.1, XP_030104822.1	XP_030136007.1, XP_041574093.1, XP_030136015.1
OG0000177	XP_006521835.1, XP_006521836.1, XP_006521834.1	XP_041574094.1, XP_030136013.1, XP_012431175.1
OG0000177	NP_001239362.1, NP_001239363.1, EDK97755.1, AAN87264.1, EDK97756.1, XP_030104819.1, XP_006521830.1, XP_006521825.1, XP_030104820.1, XP_017172361.1	XP_041574087.1
OG0000189	NP_848712.2, AAK84142.1, sp|Q923T9.1|KCC2G_MOUSE, AAH19162.1, BAE32813.1, NP_001034227.1, XP_006518555.1, XP_006518553.1, XP_006518558.1, XP_006518560.1	XP_030132651.1, XP_030132652.1, XP_030132654.1, XP_030132653.1
OG0000189	NP_001034228.1, BAC27303.1, AAH25597.1, XP_017171316.1	XP_030132660.1
OG0000189	XP_006514542.1, XP_030101362.1, XP_006514539.1, XP_006514540.1, XP_017169729.1, XP_006514538.1, XP_017169728.1, CAA45160.1	XP_041576525.1, XP_041576527.1, XP_041576528.1, XP_041576521.1, XP_041576522.1, XP_041576524.1, XP_041576523.1
OG0000189	XP_036012161.1	XP_041576529.1
OG0000189	NP_001020610.1, NP_001280592.1, XP_017174908.1	XP_030127937.1, XP_030127940.1, XP_030127938.1, XP_030127927.1, XP_030127933.1, XP_030127922.1, XP_030127921.1, XP_030127929.1, XP_041571957.1, XP_041571959.1, XP_041571956.1, XP_032604161.2, XP_041571961.1, XP_041571962.1, XP_041571963.1, XP_041571960.1, XP_041571958.1, XP_030127928.1, XP_030127932.1
OG0000189	XP_030108200.1	XP_030127939.1
OG0000189	XP_030108201.1, XP_036018697.1	XP_030127947.1, XP_030127946.1
OG0000189	NP_001390238.1	XP_030139799.1
OG0000189	NP_001390241.1	XP_002198859.1
OG0000189	BAB28422.1	XP_030127943.1
