Orthogroup	bombus	mouse
OG0000189	XP_024225890.1, XP_033178657.1, XP_033178659.1, XP_024225889.1	NP_848712.2, AAK84142.1, sp|Q923T9.1|KCC2G_MOUSE, AAH19162.1, BAE32813.1, NP_001034227.1, XP_006518555.1, XP_006518553.1, XP_006518558.1, XP_006518560.1, NP_001034228.1, BAC27303.1, AAH25597.1, XP_017171316.1, XP_006514542.1, XP_030101362.1, XP_006514539.1, XP_006514540.1, XP_017169729.1, XP_006514538.1, XP_017169728.1, CAA45160.1, XP_036012161.1
OG0000189	XP_024225894.1	XP_036018702.1
OG0000189	XP_033178660.1, XP_024225892.1	BAE25062.1, XP_030108201.1, XP_036018697.1, NP_001390238.1, NP_001390241.1
OG0000209	XP_033179945.1, XP_033179944.1, XP_033179946.1, XP_033179940.1, XP_033179941.1, XP_033179942.1, XP_033179949.1, XP_033179951.1, XP_033179952.1, XP_033179953.1, XP_033179956.1, XP_033179947.1, XP_033179943.1, XP_033179950.1, XP_033179948.1, XP_033179955.1, XP_033179954.1	ADN95183.1, AAI48293.2, NP_001184076.1, EDL05341.1, NP_061230.2, sp|O88343.2|S4A4_MOUSE, NP_001346140.1, XP_006506027.1, NP_001159539.1, XP_006506029.1, XP_006506028.1, XP_006506030.1, sp|Q8JZR6.1|S4A8_MOUSE, NP_067505.2, BAD32292.1, AAF61705.1, EDL04071.1, AAH30388.1, BAC30341.1, BAE42561.1, XP_017172207.1, NP_001334031.1, ADJ94893.1, BAB17922.1, NP_001229308.1, EDL26983.1, NP_291030.2, NP_001349605.1, XP_017174838.1, AEN71163.1, AFQ60533.1, NP_001349602.1, AEN71161.1, NP_001349603.1, XP_017171444.1, AGX13877.1, NP_001347439.1, ADO51788.1, AFR46595.1, NP_001347438.1, ADC92005.2, NP_001347446.1, AFR46594.1, NP_001347435.1, AFR46591.1, NP_001347437.1, XP_017171442.1, XP_006518062.1, XP_006518061.1, NP_001347433.1, AFR46593.1, AFP89961.1, NP_001347434.1, AFR46592.1, NP_001028442.2, AEY79769.1, NP_001347440.1, NP_001347442.1, AFI43933.1, AFI43932.1, EDL20632.1, ADC92004.1, NP_001347445.1
OG0000213	XP_003488485.1	AAA37168.1, BAE31031.1, AAH03337.1, BAC36167.1, BAE32001.1, BAE35441.1, BAC40075.1, BAE34171.1, AAH99371.1, AAH21796.1, AAH23248.1, EDL34737.1, NP_033739.1, sp|P63260.1|ACTG_MOUSE
OG0000213	XP_012236310.1	sp|A2AKE7.1|ACL10_MOUSE, NP_001165111.1
OG0000213	XP_012236309.1	sp|P68033.1|ACTC_MOUSE, NP_033736.1, pdb|7AQK|q, NP_001258970.1, pdb|7AQK|j, pdb|7AQK|n, sp|P68134.1|ACTS_MOUSE, pdb|7AQK|o, pdb|7AQK|i, pdb|7AQK|l, pdb|7AQK|k, pdb|7AQK|p, pdb|7AQK|m, pdb|7AQK|r, pdb|7AQK|h, AAH14877.1, AAA37164.1, EDL11759.1, EDL11758.1, AAA37141.1, BAE40497.1, AAH62138.1, AAI00601.1, BAE40515.1, BAB29258.1, BAE40944.1, BAE40940.1, NP_033738.1, EDK99087.1, EDK99086.1, BAE40506.1, AAH02042.1, NP_033740.2, AAA56841.1, BAE27319.1, sp|P63268.1|ACTH_MOUSE, BAB30715.1, EDL41747.1, NP_031418.1, AAH64800.1, CAA31659.1, sp|P62737.1|ACTA_MOUSE
OG0000213	XP_012244763.1	NP_031419.1, sp|P60710.1|ACTB_MOUSE, AAI38615.1, EDL19081.1, AAI38612.1, BAE31388.1, BAE31359.1, BAE26359.1, BAE31537.1, BAE30863.1, BAE30859.1, BAE30199.1, BAE35412.1, BAE30264.1, BAE26288.1, BAE30366.1, BAE30187.1, BAE35350.1, BAE26283.1, BAE30326.1, BAE30218.1, BAE30164.1, BAE30169.1, BAE39265.1, BAE30152.1
OG0000215	XP_033179652.1, XP_033179653.1, XP_033179656.1, XP_033179658.1, XP_024227008.1, XP_012247322.1, XP_012247321.1, XP_012247325.1, XP_033179654.1, XP_033179655.1	XP_030106107.1, XP_030106117.1, XP_030106108.1, XP_030106111.1, XP_036017123.1, XP_030106105.1, XP_036017112.1, XP_030106087.1, XP_036017091.1, XP_030106077.1, AAH42212.1, BAE37379.1, XP_036017106.1, XP_030106068.1, NP_001171191.1, XP_036017111.1, XP_036017114.1, XP_030106085.1, EDL27529.1, XP_030106096.1, XP_036017092.1, XP_036017095.1, XP_030106069.1, XP_030106080.1, XP_036017110.1, XP_030106100.1, XP_030106098.1, EDL27537.1, EDL27540.1, EDL27536.1, EDL27535.1, BAC29392.1, XP_030106062.1, XP_030106067.1, AAP22159.1, AAP22160.1, EDL27531.1, XP_030106102.1, NP_001171190.1, BAC65539.1, EDL27542.1, sp|Q80U28.2|MADD_MOUSE, XP_030106104.1, NP_663502.3, AAH63386.1, XP_036017121.1, XP_036017127.1, EDL27530.1, AAP22168.1, XP_036017125.1, XP_036017117.1, EDL27533.1, XP_036017104.1
OG0000216	XP_033177641.1, XP_033177644.1, XP_024224676.1, XP_033177645.1, XP_033177646.1, XP_033177642.1, XP_033177643.1, XP_033177648.1, XP_012243244.1, XP_033177649.1	NP_001392834.1, sp|Q3UTH8.1|ARHG9_MOUSE, BAE24002.1, NP_001028501.1, AAI41386.1, BAC65562.1, NP_001392831.1, NP_001392835.1, NP_001392832.1, NP_001392838.1, NP_001392837.1, NP_001277313.1, NP_001277314.1, XP_030107185.1, NP_001392842.1, NP_001392847.1, NP_001392846.1, XP_011245887.1, NP_001392845.1, NP_001392840.1, NP_001392843.1, BAE37525.1, XP_036017822.1, NP_001392841.1, NP_001392836.1, sp|Q5DU57.2|SPT13_MOUSE, NP_001391893.1, XP_030103623.1, XP_030103622.1, NP_001028444.1, XP_030103624.1, NP_001391879.1, NP_001391878.1, NP_001391880.1, XP_036014455.1, XP_017171463.1, NP_001391881.1, XP_036014458.1, XP_036014454.1, XP_011243328.1, AAI38456.1, XP_006518933.1, EDL36114.1, AAI45286.1, NP_001391882.1, NP_001297523.1, BAD90389.1, NP_898840.2, sp|Q7TNR9.2|ARHG4_MOUSE, EDL14460.1, AAI39372.1, BAE22216.1, AAI39398.1, BAE41480.1, BAE37343.1, XP_030109469.1, XP_030109473.1, XP_036020179.1, XP_030109474.1, EDL14459.1, XP_030109466.1, XP_030109461.1, NP_001355702.1, XP_030109463.1, EDL14458.1, XP_030109464.1, BAC38450.1
OG0000232	XP_012237025.1, XP_003486939.1, XP_003491285.1, XP_033177824.1	NP_075822.3, AAB69044.1, EDL13559.1, BAB25246.1, BAB25837.1, BAB25680.1, AAH61093.1, NP_033456.1, sp|P07146.1|TRY2_MOUSE, AAB69089.1, EDL13530.1, BAB22554.1, EDL13529.1, CAA28243.1, BAA74759.1, AAH61135.1, BAB25821.1, BAA74761.1, BAB22542.1, EDL13537.1, NP_035776.1, AAB69056.1, EDL13535.1, AAI38699.1, AAB69058.1, NP_001034085.1, XP_006541019.1, AAI28020.1, XP_006541018.1, NP_777355.1, BAQ21991.1, sp|Q8CGR5.1|KLK14_MOUSE, AAN78421.1, SFW93256.1
OG0000241	XP_024227203.1, XP_012247685.1, XP_012247686.1, XP_024227200.1, XP_012247679.1, XP_012247681.1, XP_033179816.1, XP_012247680.1, XP_012247682.1, XP_024227198.1, XP_012247684.1, XP_024227199.1, XP_012247683.1	NP_083492.2, XP_006538996.1, NP_001074845.1, XP_030109449.1, XP_017175733.1, XP_006538993.1, XP_006538998.1, NP_001356172.1, sp|A2A8L1.1|CHD5_MOUSE, EDL14937.1, XP_006538994.1, XP_006538992.1, XP_006532949.1, XP_006532950.1, XP_006532944.1, XP_006532948.1, XP_006532947.1, XP_006532943.1, XP_017169944.1, XP_036012459.1, XP_006532946.1, XP_036012461.1, XP_036012460.1, XP_030101674.1, XP_006532945.1, XP_006532952.1, EDL10495.1, XP_036012462.1, NP_666131.3, XP_006532953.1, XP_017169945.1, XP_006532951.1, AAB94878.1, BAC32375.1, BAE20933.1, BAE26488.1, BAE20563.1, EDK99801.1, BAB32135.1, BAB30048.1, NP_001390522.1, NP_001333539.1, AAH58578.1, XP_017176784.1, sp|Q6PDQ2.1|CHD4_MOUSE, NP_001390527.1, XP_006505344.1, NP_001390521.1, XP_017176783.1, XP_006505350.1, XP_006505348.1, BAD90499.1, XP_030110913.1, NP_001390523.1, NP_001390524.1, NP_001390525.1, XP_036021618.1, NP_001390526.1
OG0000242	XP_012237093.2	NP_033473.1, BAB22094.1, AAA40502.1, sp|P68368.1|TBA4A_MOUSE, BAC37234.1, AAH19959.1, EDL00387.1
OG0000242	XP_024221129.1, XP_033174975.1	sp|P05213.2|TBA1B_MOUSE, AAI08395.1, NP_035784.1, EDL04153.1, AAI08338.1, AAH63777.1, AAH08117.1, AAH02219.1, BAE40606.1, BAE37783.1, BAE23512.1, BAE29327.1, BAE29362.1, BAE31845.1, BAE41287.1, BAE31690.1, BAE40909.1, BAE40860.1, BAE40875.1, BAC36080.1, AAH98321.1, AAH83120.1, sp|P68373.1|TBA1C_MOUSE, AAH22182.1, AAH26753.1, BAE26516.1, AAH04745.1, AAA40503.1, NP_033474.1, AAH94022.1
OG0000242	XP_003493745.1	BAE41258.1, BAE39734.1, BAC36848.1, BAE27586.1, AAA40499.1, AAH56169.1, AAH83343.1, EDL04151.1, NP_035783.1, AAH85256.1, AAH83345.1, sp|P68369.1|TBA1A_MOUSE
OG0000242	XP_003484907.1	AAH50769.1, AAH50770.1, EDL10693.1, EDK99823.1, AAH89547.1, AAA40501.1, AAA40504.1, BAE21352.1, NP_033475.1, sp|P05214.1|TBA3_MOUSE, NP_033472.1
OG0000242	XP_024222663.1, XP_012239749.1	CAB88033.1, sp|Q9JJZ2.1|TBA8_MOUSE, ADD82895.1, NP_059075.1, EDK99659.1, AAH17631.1
OG0000263	XP_033174542.1, XP_033174543.1, XP_033174541.1, XP_033174538.1, XP_033174536.1, XP_012236128.1, XP_033174539.1, XP_033174537.1, XP_033174544.1	XP_036019863.1, XP_006537853.1, XP_036019862.1, sp|Q8K0T7.3|UN13C_MOUSE, NP_001074622.1, XP_006510992.1, XP_006510991.1, XP_006510994.1, XP_006510995.1, EDL26293.1, XP_006510997.1
OG0000263	XP_033177291.1	AAD13619.1, BAD32690.1, EDL02484.1, NP_001297687.1, XP_036019869.1, XP_036019870.1, XP_036019866.1, XP_036019864.1, XP_036019865.1, XP_017175605.1, XP_036019867.1, XP_006537854.1, XP_006537858.1, XP_006537857.1, AAI58026.1, NP_001074882.1, AAI57968.1, NP_067443.2, sp|Q9Z1N9.2|UN13B_MOUSE, XP_036019868.1, BAE36175.1
OG0000264	XP_012237206.1, XP_012237205.1	BAE24546.1, ADT91308.1, ADP09331.1, ABC79278.1, pdb|5TPK|A, AAY24693.1, pdb|6EET|A, pdb|5KJ4|C, pdb|5KJ4|A, pdb|5KJ4|B, pdb|5KJ4|D, pdb|6C13|B, pdb|6C13|A, pdb|6C14|C, pdb|6C14|A, pdb|6C10|A, ABC79270.1, ABC79277.1, ABC79276.1, NP_001136218.1, ABC79268.1, NP_001136208.1, ABC79261.1, ABC79267.1, ABC79265.1, NP_001136211.1, NP_001136213.1, ABC79263.1, NP_001136209.1, NP_001136210.1, ABC79264.1, EDL31940.1, NP_001136212.1, ABC79266.1, NP_001136207.1, ABC79259.1, AAG53891.1, sp|Q99PJ1.3|PCD15_MOUSE, NP_075604.2, XP_017169274.1, NP_001136214.1, ABC79269.1, NP_001136215.1, XP_006513218.1, NP_001136232.1, XP_036011457.1, XP_036011456.1, XP_006513219.1, XP_017169273.1, XP_036011458.1, XP_036011459.1, pdb|5W1D|A, pdb|6BXU|B, pdb|6BXU|A, pdb|6BWN|A, ABC79279.1, BAE23903.1, ABC79280.1, NP_001136220.1, pdb|4XXW|B, pdb|4XXW|A, pdb|4APX|B, pdb|4AQ8|C, pdb|4AQA|B, pdb|4AXW|B, pdb|4AQ8|D, pdb|6N22|A, pdb|4AQE|B, ABC79262.1, ABC79260.1, pdb|6CV7|A, ABC79275.1, ABC79273.1, ABC79274.1, ABC79271.1, ABC79281.1, ABC79272.1, NP_001136219.1
OG0000272	XP_024223898.1, XP_003490120.2, XP_024223897.1, XP_033177043.1, XP_033177044.1, XP_033177046.1, XP_033177042.1, XP_033177045.1	BAF03165.1, XP_006505500.1, XP_006505506.1, XP_006505505.1, XP_011239495.1, XP_011239494.1, XP_006505501.1, NP_001242928.1, CAS06714.1, NP_033911.2, XP_006505497.1, XP_006505499.1, NP_001153005.1, EDK99602.1, AAB59633.1, sp|Q01815.1|CAC1C_MOUSE, AAI45105.1, AAV59464.1, CAS06717.1, NP_001242931.1, NP_001153006.1, AAI38032.1, AAI45106.1, NP_001153007.1, CAD26884.1, NP_083257.2, XP_006518543.1, XP_017171314.1, XP_017171313.1, NP_001077085.1, CAD26883.1, XP_017171312.1, XP_017171302.1, XP_036014308.1, XP_006518538.1, XP_017171298.1, XP_017171297.1, XP_017171308.1, XP_017171306.1, NP_001289566.1, sp|Q99246.3|CAC1D_MOUSE, BAC77259.1, XP_017171303.1, XP_017171304.1, XP_017171305.1, XP_017171299.1, XP_017171301.1, AAH58783.1, XP_006518542.1, XP_017171300.1
OG0000273	XP_033174479.1, XP_033174478.1, XP_033174477.1, XP_033174473.1, XP_024220469.1, XP_033174472.1, XP_033174476.1	ADO63680.1, ADO63687.1, ADO63686.1, AAL69971.1
