Orthogroup	bombus	finch	fly	mouse
OG0028454	XP_024224791.2			
OG0028455	XP_033177705.1			
OG0028456	XP_033177687.1			
OG0028457	XP_033177684.1			
OG0028458	XP_033177683.1			
OG0028459	XP_033177668.1			
OG0028460	XP_033177667.1			
OG0028461	XP_033177637.1			
OG0028462	XP_033177612.1			
OG0028463	XP_033177559.1			
OG0028464	XP_033177502.1			
OG0028465	XP_003490766.3			
OG0028466	XP_033177439.1			
OG0028467	XP_012242576.3			
OG0028468	XP_033177391.1			
OG0028469	XP_024224323.2			
OG0028470	XP_033177390.1			
OG0028471	XP_033177389.1			
OG0028472	XP_033177349.1			
OG0028473	XP_033177337.1			
OG0028474	XP_033177334.1			
OG0028475	XP_033177331.1			
OG0028476	XP_033177319.1			
OG0028477	XP_012242540.2			
OG0028478	XP_033177294.1			
OG0028479	XP_033177292.1			
OG0028480	XP_033177288.1			
OG0028481	XP_003490516.3			
OG0028482	XP_033177270.1			
OG0028483	XP_033177245.1			
OG0028484	XP_003490384.3			
OG0028485	XP_033177190.1			
OG0028486	XP_033177160.1			
OG0028487	XP_033177141.1			
OG0028488	XP_033177128.1			
OG0028489	XP_033177096.1			
OG0028490	XP_033177095.1			
OG0028491	XP_033177092.1			
OG0028492	XP_033177083.1			
OG0028493	XP_033177082.1			
OG0028494	XP_033177070.1			
OG0028495	XP_033177040.1			
OG0028496	XP_033177020.1			
OG0028497	XP_033177019.1			
OG0028498	XP_033177015.1			
OG0028499	XP_033177012.1			
OG0028500	XP_033177011.1			
OG0028501	XP_033177009.1			
OG0028502	XP_033177008.1			
OG0028503	XP_033177007.1			
OG0028504	XP_033177006.1			
OG0028505	XP_033177005.1			
OG0028506	XP_033177004.1			
OG0028507	XP_033177003.1			
OG0028508	XP_033177002.1			
OG0028509	XP_033177001.1			
OG0028510	XP_033176999.1			
OG0028511	XP_033176992.1			
OG0028512	XP_033176989.1			
OG0028513	XP_033176988.1			
OG0028514	XP_033176987.1			
OG0028515	XP_033176985.1			
OG0028516	XP_033176984.1			
OG0028517	XP_033176976.1			
OG0028518	XP_033176939.1			
OG0028519	XP_033176906.1			
OG0028520	XP_033176892.1			
OG0028521	XP_033176842.1			
OG0028522	XP_033176841.1			
OG0028523	XP_033176839.1			
OG0028524	XP_033176810.1			
OG0028525	XP_033176808.1			
OG0028526	XP_033176791.1			
OG0028527	XP_033176781.1			
OG0028528	XP_024223637.2			
OG0028529	XP_033176771.1			
OG0028530	XP_033176768.1			
OG0028531	XP_033176754.1			
OG0028532	XP_012241241.3			
OG0028533	XP_033176736.1			
OG0028534	XP_033176725.1			
OG0028535	XP_033176707.1			
OG0028536	XP_012241250.2			
OG0028537	XP_033176702.1			
OG0028538	XP_033176698.1			
OG0028539	XP_033176693.1			
OG0028540	XP_033176679.1			
OG0028541	XP_033176675.1			
OG0028542	XP_033176656.1			
OG0028543	XP_033176639.1			
OG0028544	XP_033176638.1			
OG0028545	XP_033176635.1			
OG0028546	XP_033176613.1			
OG0028547	XP_033176596.1			
OG0028548	XP_033176585.1			
OG0028549	XP_033176562.1			
OG0028550	XP_033176543.1			
OG0028551	XP_033176534.1			
OG0028552	XP_033176438.1			
OG0028553	XP_033176434.1			
OG0028554	XP_033176431.1			
OG0028555	XP_033176421.1			
OG0028556	XP_033176416.1			
OG0028557	XP_033176413.1			
OG0028558	XP_033176410.1			
OG0028559	XP_033176373.1			
OG0028560	XP_024223033.2			
OG0028561	XP_033176371.1			
OG0028562	XP_033176356.1			
OG0028563	XP_033176310.1			
OG0028564	XP_033176293.1			
OG0028565	XP_024222960.2			
OG0028566	XP_033176279.1			
OG0028567	XP_033176255.1			
OG0028568	XP_033176254.1			
OG0028569	XP_012240140.2			
OG0028570	XP_033176213.1			
OG0028571	XP_033176198.1			
OG0028572	XP_033176193.1			
OG0028573	XP_033176161.1			
OG0028574	XP_033176158.1			
OG0028575	XP_033176148.1			
OG0028576	XP_033176135.1			
OG0028577	XP_033176134.1			
OG0028578	XP_033176118.1			
OG0028579	XP_033176104.1			
OG0028580	XP_033176064.1			
OG0028581	XP_033176061.1			
OG0028582	XP_024222598.2			
OG0028583	XP_024222600.2			
OG0028584	XP_033176014.1			
OG0028585	XP_033175995.1			
OG0028586	XP_033175991.1			
OG0028587	XP_033175990.1			
OG0028588	XP_033175983.1			
OG0028589	XP_033175982.1			
OG0028590	XP_033175981.1			
OG0028591	XP_033175980.1			
OG0028592	XP_033175979.1			
OG0028593	XP_033175978.1			
OG0028594	XP_033175977.1			
OG0028595	XP_033175975.1			
OG0028596	XP_033175966.1			
OG0028597	XP_033175943.1			
OG0028598	XP_033175934.1			
OG0028599	XP_033175904.1			
OG0028600	XP_003488345.3			
OG0028601	XP_033175892.1			
OG0028602	XP_024222359.2			
OG0028603	XP_024222350.2			
OG0028604	XP_033175843.1			
OG0028605	XP_033175819.1			
OG0028606	XP_033175800.1			
OG0028607	XP_033175771.1			
OG0028608	XP_033175764.1			
OG0028609	XP_033175699.1			
OG0028610	XP_033175680.1			
OG0028611	XP_024222089.2			
OG0028612	XP_012238397.2			
OG0028613	XP_033175599.1			
OG0028614	XP_033175539.1			
OG0028615	XP_033175538.1			
OG0028616	XP_033175537.1			
OG0028617	XP_033175536.1			
OG0028618	XP_033175488.1			
OG0028619	XP_033175430.1			
OG0028620	XP_033175328.1			
OG0028621	XP_033175326.1			
OG0028622	XP_033175324.1			
OG0028623	XP_033175289.1			
OG0028624	XP_033175261.1			
OG0028625	XP_033175225.1			
OG0028626	XP_033175205.1			
OG0028627	XP_033175196.1			
OG0028628	XP_033175195.1			
OG0028629	XP_033175194.1			
OG0028630	XP_033175193.1			
OG0028631	XP_033175185.1			
OG0028632	XP_033175177.1			
OG0028633	XP_033175164.1			
OG0028634	XP_033175162.1			
OG0028635	XP_033175153.1			
OG0028636	XP_033175135.1			
OG0028637	XP_033175134.1			
OG0028638	XP_033175133.1			
OG0028639	XP_033175053.1			
OG0028640	XP_033175052.1			
OG0028641	XP_033175051.1			
OG0028642	XP_033175045.1			
OG0028643	XP_033175043.1			
OG0028644	XP_033175042.1			
OG0028645	XP_033175011.1			
OG0028646	XP_033175010.1			
OG0028647	XP_024221203.2			
OG0028648	XP_033175005.1			
OG0028649	XP_033174982.1			
OG0028650	XP_033174960.1			
OG0028651	XP_033174866.1			
OG0028652	XP_033174865.1			
OG0028653	XP_012236853.2			
OG0028654	XP_033174856.1			
OG0028655	XP_033174841.1			
OG0028656	XP_033174837.1			
OG0028657	XP_033174835.1			
OG0028658	XP_033174812.1			
OG0028659	XP_033174760.1			
OG0028660	XP_012236569.3			
OG0028661	XP_033174741.1			
OG0028662	XP_033174740.1			
OG0028663	XP_033174714.1			
OG0028664	XP_033174698.1			
OG0028665	XP_033174690.1			
OG0028666	XP_033174675.1			
OG0028667	XP_033174671.1			
OG0028668	XP_033174658.1			
OG0028669	XP_033174634.1			
OG0028670	XP_033174632.1			
OG0028671	XP_033174599.1			
OG0028672	XP_033174584.1			
OG0028673	XP_033174583.1			
OG0028674	XP_033174579.1			
OG0028675	XP_024220514.2			
OG0028676	XP_033174531.1			
OG0028677	XP_033174492.1			
OG0028678	XP_033174467.1			
OG0028679	XP_033174458.1			
OG0028680	XP_033174457.1			
OG0028681	XP_033174453.1			
OG0028682	XP_033174452.1			
OG0028683	XP_033174451.1			
OG0028684	XP_033174450.1			
OG0028685	XP_033174449.1			
OG0028686	XP_033174439.1			
OG0028687	XP_033174425.1			
OG0028688	XP_033174421.1			
OG0028689	XP_024220420.2			
OG0028690	XP_033174420.1			
OG0028691	XP_033174417.1			
OG0028692	XP_033174358.1			
OG0028693	XP_033174350.1			
OG0028694	XP_033174349.1			
OG0028695	XP_033174348.1			
OG0028696	XP_033174340.1			
OG0028697	XP_033174318.1			
OG0028698	XP_033174304.1			
OG0028699	XP_033174300.1			
OG0028700	XP_033174281.1			
OG0028701	XP_033180872.1			
OG0028702	XP_033180871.1			
OG0028703	XP_033180870.1			
OG0028704	XP_033180834.1			
OG0028705	XP_024228383.2			
OG0028706	XP_033180827.1			
OG0028707	XP_033180815.1			
OG0028708	XP_033180776.1			
OG0028709	XP_033180746.1			
OG0028710	XP_033180683.1			
OG0028711	XP_033180657.1			
OG0028712	XP_033180650.1			
OG0028713	XP_033180649.1			
OG0028714	XP_033180607.1			
OG0028715	XP_033180599.1			
OG0028716	XP_033180592.1			
OG0028717	XP_024228081.2			
OG0028718	XP_033180571.1			
OG0028719	XP_033180558.1			
OG0028720	XP_003485483.4			
OG0028721	XP_033180544.1			
OG0028722	XP_033180107.1			
OG0028723	XP_033180025.1			
OG0028724	XP_033179428.1			
OG0028725	XP_033179323.1			
OG0028726	XP_033179267.1			
OG0028727	XP_024226301.2			
OG0028728	XP_033178879.1			
OG0028729	XP_033178830.1			
OG0028730	XP_033178035.1			
OG0028731	XP_033177928.1			
OG0028732	XP_033177791.1			
OG0028733	XP_033177647.1			
OG0028734	XP_033177545.1			
OG0028735	XP_024224436.2			
OG0028736	XP_033177515.1			
OG0028737	XP_033177097.1			
OG0028738	XP_033176979.1			
OG0028739	XP_033176935.1			
OG0028740	XP_033176931.1			
OG0028741	XP_033176922.1			
OG0028742	XP_033176899.1			
OG0028743	XP_033176893.1			
OG0028744	XP_033176716.1			
OG0028745	XP_033176709.1			
OG0028746	XP_033176374.1			
OG0028747	XP_033175938.1			
OG0028748	XP_033175894.1			
OG0028749	XP_033175891.1			
OG0028750	XP_033175515.1			
OG0028751	XP_033174854.1			
OG0028752	XP_033174842.1			
OG0028753	XP_033174826.1			
OG0028754	XP_012250093.2			
OG0028755	XP_033180839.1			
OG0028756	XP_033180783.1			
OG0028757	XP_033180766.1			
OG0028758	XP_033180761.1			
OG0028759	XP_033180588.1			
OG0028760	XP_033178703.1			
OG0028761	XP_033176401.1			
OG0028762	XP_024228029.1			
OG0028763	XP_003494933.2			
OG0028764	XP_024228012.1			
OG0028765	XP_024227944.1			
OG0028766	XP_024227934.1			
OG0028767	XP_024227906.1			
OG0028768	XP_012248916.2			
OG0028769	XP_024227892.1			
OG0028770	XP_024227874.1			
OG0028771	XP_024227798.1			
OG0028772	XP_024227793.1			
OG0028773	XP_024227792.1			
OG0028774	XP_024227791.1			
OG0028775	XP_024227715.1			
OG0028776	XP_003494500.3			
OG0028777	XP_024227679.1			
OG0028778	XP_024227530.1			
OG0028779	XP_024227524.1			
OG0028780	XP_024227460.1			
OG0028781	XP_024227403.1			
OG0028782	XP_024227287.1			
OG0028783	XP_003493891.3			
OG0028784	XP_024227197.1			
OG0028785	XP_024227174.1			
OG0028786	XP_024227128.1			
OG0028787	XP_024227085.1			
OG0028788	XP_024227044.1			
OG0028789	XP_024226955.1			
OG0028790	XP_012247098.2			
OG0028791	XP_024226888.1			
OG0028792	XP_024226886.1			
OG0028793	XP_024226726.1			
OG0028794	XP_024226706.1			
OG0028795	XP_024226659.1			
OG0028796	XP_024226640.1			
OG0028797	XP_012246566.2			
OG0028798	XP_024226498.1			
OG0028799	XP_024226471.1			
OG0028800	XP_012246188.2			
OG0028801	XP_024226339.1			
OG0028802	XP_024226338.1			
OG0028803	XP_024226336.1			
OG0028804	XP_024226322.1			
OG0028805	XP_024226320.1			
OG0028806	XP_024226316.1			
OG0028807	XP_024226315.1			
OG0028808	XP_024226307.1			
OG0028809	XP_024226293.1			
OG0028810	XP_024226286.1			
OG0028811	XP_024226277.1			
OG0028812	XP_012245894.2			
OG0028813	XP_024226251.1			
OG0028814	XP_024226226.1			
OG0028815	XP_024226153.1			
OG0028816	XP_003492532.2			
OG0028817	XP_024226115.1			
OG0028818	XP_024226049.1			
OG0028819	XP_024226033.1			
OG0028820	XP_024226022.1			
OG0028821	XP_024226003.1			
OG0028822	XP_024225966.1			
OG0028823	XP_024225925.1			
OG0028824	XP_024225914.1			
OG0028825	XP_024225888.1			
OG0028826	XP_024225877.1			
OG0028827	XP_024225876.1			
OG0028828	XP_024225832.1			
OG0028829	XP_024225827.1			
OG0028830	XP_024225815.1			
OG0028831	XP_024225809.1			
OG0028832	XP_024225712.1			
OG0028833	XP_024225701.1			
OG0028834	XP_024225681.1			
OG0028835	XP_024225674.1			
OG0028836	XP_024225630.1			
OG0028837	XP_024225622.1			
OG0028838	XP_024225607.1			
OG0028839	XP_024225603.1			
OG0028840	XP_024225600.1			
OG0028841	XP_024225594.1			
OG0028842	XP_024225577.1			
OG0028843	XP_024225576.1			
OG0028844	XP_003491942.2			
OG0028845	XP_024225515.1			
OG0028846	XP_024225510.1			
OG0028847	XP_024225441.1			
OG0028848	XP_024225418.1			
OG0028849	XP_024225386.1			
OG0028850	XP_024225370.1			
OG0028851	XP_024225335.1			
OG0028852	XP_024225201.1			
OG0028853	XP_024225187.1			
OG0028854	XP_024225117.1			
OG0028855	XP_024225069.1			
OG0028856	XP_024225066.1			
OG0028857	XP_024225063.1			
OG0028858	XP_024225045.1			
OG0028859	XP_024225013.1			
OG0028860	XP_024224947.1			
OG0028861	XP_024224945.1			
OG0028862	XP_012243631.2			
OG0028863	XP_012243609.2			
OG0028864	XP_012243528.2			
OG0028865	XP_024224833.1			
OG0028866	XP_012243453.2			
OG0028867	XP_012243369.2			
OG0028868	XP_024224735.1			
OG0028869	XP_024224702.1			
OG0028870	XP_024224665.1			
OG0028871	XP_012243147.2			
OG0028872	XP_024224639.1			
OG0028873	XP_024224635.1			
OG0028874	XP_024224619.1			
OG0028875	XP_024224618.1			
OG0028876	XP_024224600.1			
OG0028877	XP_024224581.1			
OG0028878	XP_024224579.1			
OG0028879	XP_024224555.1			
OG0028880	XP_024224524.1			
OG0028881	XP_024224464.1			
OG0028882	XP_024224406.1			
OG0028883	XP_024224399.1			
OG0028884	XP_024224395.1			
OG0028885	XP_024224385.1			
OG0028886	XP_024224340.1			
OG0028887	XP_024224332.1			
OG0028888	XP_024224299.1			
OG0028889	XP_003490562.3			
OG0028890	XP_024224226.1			
OG0028891	XP_024224202.1			
OG0028892	XP_024224185.1			
OG0028893	XP_003490428.3			
OG0028894	XP_024224131.1			
OG0028895	XP_024224111.1			
OG0028896	XP_012242168.2			
OG0028897	XP_024224059.1			
OG0028898	XP_024224055.1			
OG0028899	XP_024224033.1			
OG0028900	XP_024224014.1			
OG0028901	XP_024224003.1			
OG0028902	XP_012242037.2			
OG0028903	XP_024223990.1			
OG0028904	XP_024223926.1			
OG0028905	XP_024223844.1			
OG0028906	XP_024223797.1			
OG0028907	XP_024223780.1			
OG0028908	XP_024223765.1			
OG0028909	XP_024223757.1			
OG0028910	XP_024223746.1			
OG0028911	XP_024223726.1			
OG0028912	XP_024223707.1			
OG0028913	XP_024223688.1			
OG0028914	XP_012241664.2			
OG0028915	XP_024223668.1			
OG0028916	XP_024223597.1			
OG0028917	XP_024223588.1			
OG0028918	XP_024223587.1			
OG0028919	XP_024223586.1			
OG0028920	XP_024223530.1			
OG0028921	XP_024223403.1			
OG0028922	XP_003489481.2			
OG0028923	XP_024223383.1			
OG0028924	XP_024223357.1			
OG0028925	XP_012240875.2			
OG0028926	XP_024223267.1			
OG0028927	XP_024223250.1			
OG0028928	XP_024223167.1			
OG0028929	XP_003489270.3			
OG0028930	XP_024223130.1			
OG0028931	XP_024223117.1			
OG0028932	XP_024223116.1			
OG0028933	XP_024223115.1			
OG0028934	XP_024223114.1			
OG0028935	XP_024223112.1			
OG0028936	XP_024223090.1			
OG0028937	XP_024223089.1			
OG0028938	XP_024223060.1			
OG0028939	XP_003489090.2			
OG0028940	XP_024223007.1			
OG0028941	XP_012240296.2			
OG0028942	XP_024222961.1			
OG0028943	XP_024222955.1			
OG0028944	XP_012240288.2			
OG0028945	XP_024222946.1			
OG0028946	XP_024222914.1			
OG0028947	XP_024222888.1			
OG0028948	XP_024222859.1			
OG0028949	XP_024222836.1			
OG0028950	XP_024222832.1			
OG0028951	XP_012239978.2			
OG0028952	XP_003488869.2			
OG0028953	XP_024222811.1			
OG0028954	XP_024222806.1			
OG0028955	XP_024222805.1			
OG0028956	XP_024222804.1			
OG0028957	XP_024222786.1			
OG0028958	XP_024222754.1			
OG0028959	XP_024222718.1			
OG0028960	XP_024222710.1			
OG0028961	XP_012239610.2			
OG0028962	XP_012239677.2			
OG0028963	XP_024222597.1			
OG0028964	XP_024222572.1			
OG0028965	XP_024222534.1			
OG0028966	XP_024222491.1			
OG0028967	XP_024222440.1			
OG0028968	XP_012239251.2			
OG0028969	XP_024222357.1			
OG0028970	XP_003488287.2			
OG0028971	XP_024222333.1			
OG0028972	XP_024222264.1			
OG0028973	XP_024222258.1			
OG0028974	XP_024222248.1			
OG0028975	XP_024222225.1			
OG0028976	XP_012238802.2			
OG0028977	XP_024222097.1			
OG0028978	XP_024221985.1			
OG0028979	XP_024221884.1			
OG0028980	XP_012238243.2			
OG0028981	XP_024221770.1			
OG0028982	XP_024221752.1			
OG0028983	XP_024221627.1			
OG0028984	XP_024221619.1			
OG0028985	XP_024221551.1			
OG0028986	XP_012237675.2			
OG0028987	XP_024221535.1			
OG0028988	XP_024221519.1			
OG0028989	XP_024221485.1			
OG0028990	XP_024221480.1			
OG0028991	XP_003487301.3			
OG0028992	XP_024221467.1			
OG0028993	XP_024221460.1			
OG0028994	XP_012237604.2			
OG0028995	XP_024221428.1			
OG0028996	XP_024221422.1			
OG0028997	XP_024221378.1			
OG0028998	XP_024221373.1			
OG0028999	XP_024221366.1			
OG0029000	XP_024221364.1			
OG0029001	XP_024221343.1			
OG0029002	XP_024221340.1			
OG0029003	XP_024221314.1			
OG0029004	XP_024221296.1			
OG0029005	XP_024221274.1			
OG0029006	XP_024221269.1			
OG0029007	XP_024221258.1			
OG0029008	XP_012237252.2			
OG0029009	XP_024221232.1			
OG0029010	XP_024221219.1			
OG0029011	XP_024221167.1			
OG0029012	XP_024220969.1			
OG0029013	XP_024220935.1			
OG0029014	XP_024220916.1			
OG0029015	XP_024220915.1			
OG0029016	XP_024220911.1			
OG0029017	XP_024220910.1			
OG0029018	XP_024220909.1			
OG0029019	XP_024220908.1			
OG0029020	XP_024220907.1			
OG0029021	XP_024220858.1			
OG0029022	XP_012236570.2			
OG0029023	XP_012236531.2			
OG0029024	XP_024220799.1			
OG0029025	XP_024220798.1			
OG0029026	XP_024220797.1			
OG0029027	XP_012236560.2			
OG0029028	XP_024220790.1			
OG0029029	XP_024220745.1			
OG0029030	XP_024220719.1			
OG0029031	XP_024220713.1			
OG0029032	XP_024220634.1			
OG0029033	XP_024220601.1			
OG0029034	XP_024220567.1			
OG0029035	XP_024220554.1			
OG0029036	XP_003486350.2			
OG0029037	XP_024220505.1			
OG0029038	XP_024220504.1			
OG0029039	XP_012236108.2			
OG0029040	XP_024220502.1			
OG0029041	XP_024220501.1			
OG0029042	XP_024220500.1			
OG0029043	XP_024220499.1			
OG0029044	XP_024220498.1			
OG0029045	XP_024220450.1			
OG0029046	XP_024220372.1			
OG0029047	XP_024220294.1			
OG0029048	XP_024220207.1			
OG0029049	XP_024220196.1			
OG0029050	XP_024228495.1			
OG0029051	XP_012250001.2			
OG0029052	XP_024228460.1			
OG0029053	XP_024228438.1			
OG0029054	XP_024228433.1			
OG0029055	XP_024228427.1			
OG0029056	XP_024228414.1			
OG0029057	XP_012249812.2			
OG0029058	XP_024228342.1			
OG0029059	XP_024228337.1			
OG0029060	XP_024228315.1			
OG0029061	XP_024228301.1			
OG0029062	XP_024228293.1			
OG0029063	XP_024228231.1			
OG0029064	XP_024228208.1			
OG0029065	XP_012249390.2			
OG0029066	XP_024228203.1			
OG0029067	XP_024228200.1			
OG0029068	XP_024228191.1			
OG0029069	XP_012249351.2			
OG0029070	XP_024228151.1			
OG0029071	XP_024228141.1			
OG0029072	XP_024228132.1			
OG0029073	XP_024228113.1			
OG0029074	XP_024228056.1			
OG0029075	XP_024228055.1			
OG0029076	XP_024227954.1			
OG0029077	XP_024227714.1			
OG0029078	XP_024227265.1			
OG0029079	XP_024227086.1			
OG0029080	XP_024226552.1			
OG0029081	XP_024226459.1			
OG0029082	XP_024226248.1			
OG0029083	XP_024226070.1			
OG0029084	XP_024225989.1			
OG0029085	XP_024225919.1			
OG0029086	XP_024225570.1			
OG0029087	XP_024225022.1			
OG0029088	XP_024224900.1			
OG0029089	XP_012242572.2			
OG0029090	XP_024224728.1			
OG0029091	XP_024224425.1			
OG0029092	XP_024223995.1			
OG0029093	XP_024223399.1			
OG0029094	XP_012240833.2			
OG0029095	XP_024223084.1			
OG0029096	XP_024222991.1			
OG0029097	XP_024222908.1			
OG0029098	XP_024222783.1			
OG0029099	XP_024222680.1			
OG0029100	XP_024222576.1			
OG0029101	XP_012238623.2			
OG0029102	XP_024222172.1			
OG0029103	XP_024221767.1			
OG0029104	XP_024221762.1			
OG0029105	XP_024221013.1			
OG0029106	XP_024228381.1			
OG0029107	XP_024228374.1			
OG0029108	XP_024228371.1			
OG0029109	XP_024226429.1			
OG0029110	XP_024222370.1			
OG0029111	XP_012249215.1			
OG0029112	XP_003494939.2			
OG0029113	XP_012249199.1			
OG0029114	XP_003494920.2			
OG0029115	XP_012249138.1			
OG0029116	XP_012249133.1			
OG0029117	XP_012249124.1			
OG0029118	XP_012249122.1			
OG0029119	XP_012248911.1			
OG0029120	XP_012248848.1			
OG0029121	XP_012248844.1			
OG0029122	XP_012248820.1			
OG0029123	XP_012248805.1			
OG0029124	XP_012248797.1			
OG0029125	XP_012248764.1			
OG0029126	XP_012248736.1			
OG0029127	XP_012248668.1			
OG0029128	XP_012248616.1			
OG0029129	XP_012248610.1			
OG0029130	XP_012248526.1			
OG0029131	XP_003494474.2			
OG0029132	XP_012248515.1			
