Orthogroup	finch	fly
OG0000189	XP_030132651.1, XP_030132652.1, XP_030132654.1, XP_030132653.1, XP_030132660.1, XP_030132655.1, XP_030132656.1, XP_030132658.1, XP_030132659.1, XP_041576525.1, XP_041576527.1, XP_041576528.1, XP_041576521.1, XP_041576522.1, XP_041576524.1, XP_041576523.1, XP_041576526.1, XP_041576529.1, XP_030127937.1, XP_030127940.1, XP_030127938.1, XP_030127927.1, XP_030127933.1, XP_030127922.1, XP_030127921.1, XP_030127929.1, XP_041571957.1, XP_041571959.1, XP_041571956.1, XP_032604161.2, XP_041571961.1, XP_041571962.1, XP_041571963.1, XP_041571960.1, XP_041571958.1, XP_030127928.1, XP_030127932.1, XP_030127939.1, XP_030127944.1, XP_030127947.1, XP_030127946.1, XP_030139799.1, XP_002198859.1, XP_030127943.1	sp|Q00168|KCC2A_DROME
OG0000209	XP_030128066.3, XP_041571989.1, XP_030128065.3, XP_030128067.3, XP_030128069.3, XP_030128070.3, XP_041567462.1, XP_030134211.3, XP_030134214.3, XP_030134213.3, XP_030134212.3, XP_030134215.3, XP_030134208.3, XP_030134210.3, XP_030134221.3, XP_030134217.3, XP_030120860.1, XP_030120858.1, XP_030120859.1, XP_030120857.1, XP_030120856.1, XP_030120851.1, XP_030120852.1, XP_004175420.2	tr|Q8IPI3|Q8IPI3_DROME
OG0000213	XP_030137218.1, XP_030143135.1	sp|P10987|ACT1_DROME, sp|P02572|ACT2_DROME
OG0000213	XP_030144725.3	sp|P45891|ACTY_DROME
OG0000213	XP_030124160.1, XP_002200536.1, XP_030145731.1, XP_030131904.1	sp|P02574|ACT4_DROME
OG0000215	XP_030130064.3, XP_030130070.3, XP_012429603.3, XP_041572537.1, XP_002200015.3, XP_030130063.3, XP_032604642.2, XP_041572534.1, XP_041572533.1, XP_030130052.3, XP_032604644.2, XP_030130057.3, XP_032604645.2, XP_032604646.2, XP_032604647.2, XP_030130079.3, XP_030130075.3, XP_032604650.2, XP_030130068.3, XP_030130066.3, XP_030130065.3, XP_030130061.3, XP_030130051.3, XP_030130047.3, XP_041572529.1, XP_041572530.1, XP_030130049.3, XP_030130062.3, XP_032604643.2, XP_041572531.1, XP_041572528.1, XP_030130053.3, XP_041572535.1, XP_041572536.1, XP_030130077.3, XP_032604653.2, XP_032604651.2, XP_032604649.2, XP_032604648.2	sp|Q9VXY2|MADD_DROME
OG0000216	XP_032604300.1, XP_030128726.1, XP_012428557.1, XP_030128724.1, XP_030128723.3, XP_030128721.3, XP_012428554.1, XP_030128719.1, XP_012428560.1, XP_030128725.1, XP_032604299.2, XP_004177292.1, XP_012428563.1, XP_030128715.1, XP_030128717.1, XP_030128718.1, XP_030128716.1, XP_030131088.3, XP_030131061.3, XP_030131069.3, XP_030131078.3, XP_030136025.1, XP_030136023.1, XP_030136024.1, XP_030136026.1	tr|Q9W0S2|Q9W0S2_DROME
OG0000232	XP_002194680.2, XP_032607043.1, XP_012425398.1, XP_041570741.1, XP_041568340.1, XP_041568337.1	tr|Q7K1E3|Q7K1E3_DROME, tr|A1ZBU1|A1ZBU1_DROME, tr|Q8IPY7|Q8IPY7_DROME, tr|Q9VQA3|Q9VQA3_DROME, sp|P35005|TRYE_DROME, sp|C0HKA4|Y0031_DROME, sp|C0HKA3|TRYGT_DROME, sp|C0HKA2|TRYDT_DROME, tr|A1Z8J8|A1Z8J8_DROME, sp|P35004|TRYB_DROME, sp|P04814|TRYA_DROME, tr|Q9W5U8|Q9W5U8_DROME, sp|P42278|TRYT_DROME, tr|Q4V3S6|Q4V3S6_DROME, sp|P52905|TRYI_DROME, tr|Q9VQ97|Q9VQ97_DROME, tr|Q9VQ98|Q9VQ98_DROME, tr|Q9VQA0|Q9VQA0_DROME, tr|Q9VQ99|Q9VQ99_DROME, tr|Q7KT95|Q7KT95_DROME, tr|A0A0B4JCV5|A0A0B4JCV5_DROME, tr|Q9W1W5|Q9W1W5_DROME, tr|Q8MLS8|Q8MLS8_DROME, tr|A1ZA64|A1ZA64_DROME, tr|Q7JPN9|Q7JPN9_DROME, tr|Q9VLF5|Q9VLF5_DROME, tr|Q8IQ10|Q8IQ10_DROME, tr|Q4V5J3|Q4V5J3_DROME, tr|A8DYG0|A8DYG0_DROME, tr|A1Z8J7|A1Z8J7_DROME, sp|P42280|TRYZ_DROME, sp|P42279|TRYU_DROME, tr|Q9VAG3|Q9VAG3_DROME, tr|Q9W454|Q9W454_DROME, tr|Q8IRR3|Q8IRR3_DROME, tr|Q9W586|Q9W586_DROME, tr|Q9W453|Q9W453_DROME, tr|Q9W452|Q9W452_DROME, tr|Q8IRE1|Q8IRE1_DROME, tr|Q8IRE0|Q8IRE0_DROME, tr|Q8IRE2|Q8IRE2_DROME, tr|Q8T429|Q8T429_DROME, tr|B7Z091|B7Z091_DROME, sp|Q9VP95|SEMS_DROME, tr|Q9W0Z7|Q9W0Z7_DROME, tr|Q9VZT0|Q9VZT0_DROME, tr|Q9VZS9|Q9VZS9_DROME, tr|Q8SYS8|Q8SYS8_DROME, tr|Q9VBG5|Q9VBG5_DROME, tr|Q0KI07|Q0KI07_DROME, tr|Q9V3J7|Q9V3J7_DROME, tr|Q9VAX6|Q9VAX6_DROME
OG0000241	XP_030145409.3, XP_030145405.3, XP_030145406.3, XP_030145408.3, XP_030145407.3, XP_041568086.1, XP_030122972.3, XP_030122963.3, XP_030122964.3, XP_030122893.3, XP_030122914.3, XP_030122883.3, XP_041570540.1, XP_030122841.3, XP_030122906.3, XP_030122872.3, XP_030122896.3, XP_030122937.3, XP_030122920.3, XP_030122927.3, XP_032602962.2	sp|O16102|CHD3_DROME, sp|O97159|CHDM_DROME
OG0000242	XP_030114957.1, NP_001232109.1, ACH45893.1, XP_041567545.1, XP_041567543.1, XP_041567544.1, XP_030115314.1, XP_002195512.3	sp|P06604|TBA2_DROME
OG0000242	XP_041576847.1, XP_041576852.1	tr|Q9VED6|Q9VED6_DROME, sp|P06606|TBA4_DROME
OG0000242	XP_030115313.1	sp|P06605|TBA3_DROME
OG0000242	XP_030136299.1	sp|P06603|TBA1_DROME
OG0000263	XP_030114687.1, XP_030114688.1, XP_030114689.1, XP_041567404.1, XP_030114692.1, XP_030114696.1, XP_030136939.3, XP_030136941.3	tr|H9XVP2|H9XVP2_DROME
OG0000264	XP_030131613.3, XP_030131612.3, XP_030131611.3, XP_032604962.2, XP_030131608.3, XP_030131610.3, XP_041573126.1, XP_041573128.1	sp|Q9VAF5|CAD99_DROME
OG0000272	XP_030147894.3, XP_041569794.1, XP_041569792.1, XP_041569797.1, XP_041569795.1, XP_041569793.1, XP_041569791.1, XP_041569786.1, XP_041569787.1, XP_041569790.1, XP_030119753.3, XP_041568078.1, XP_041568077.1, XP_030139100.1, XP_030139099.1, XP_030139094.1, XP_030139093.1, XP_030139090.1, XP_030139089.1, XP_030139091.1, XP_030139098.1, XP_041574724.1, XP_041574729.1, XP_041574728.1, XP_041574731.1, XP_041574725.1, XP_041574730.1, XP_041574726.1, XP_041574727.1	sp|Q24270|CAC1D_DROME
OG0000273	XP_032605170.1, XP_030132625.1, XP_032605169.1, XP_030132624.1, XP_030132629.1, XP_030132611.1, XP_030132627.1, XP_030132626.1, XP_030132621.1, XP_030132623.1, XP_030132602.1, XP_030132600.1, XP_030132598.1, XP_030132605.1, XP_012429932.2, XP_030132634.1, XP_030132632.1, XP_030132597.1, XP_030132603.1, XP_030132618.1, XP_030132614.1, XP_041572941.1, XP_041572943.1, XP_041572942.1, XP_030132599.1	sp|Q03720|SLO_DROME
OG0000274	XP_030144930.1, XP_030144931.1, XP_030144933.1, XP_030144935.1, NP_001191893.1, XP_030144934.1, XP_030144932.1, XP_030144936.1, XP_030144937.1, XP_030144939.1, XP_030144938.1, XP_030136160.1, XP_041574205.1, XP_041574204.1, XP_030136159.1, XP_030136158.1, XP_041574203.1, XP_030136154.1, XP_030136150.1, XP_041574202.1, XP_030136151.1, XP_030136152.1, XP_030136149.1, XP_041574200.1, XP_030136145.1, XP_030136146.1, XP_030136147.1, XP_030136161.1, XP_041574201.1, XP_030136143.1, XP_030136144.1, XP_030136148.1, XP_030131342.3	sp|A1ZAJ2|KIF1A_DROME
OG0000275	XP_030125040.3, XP_030118983.3, XP_041569506.1, XP_030124446.3, XP_030124448.3, XP_030124447.3, XP_041567942.1, XP_041570818.1, XP_041570822.1, XP_030124797.3, XP_030124796.3, XP_030131360.3, XP_030131358.3, XP_030131357.3, XP_002191439.3	sp|Q11002|CANA_DROME, sp|Q9VT65|CANB_DROME
OG0000278	XP_002193857.5, XP_004176232.1, XP_032602370.1, XP_030119718.1, XP_030119717.1, XP_041569764.1, XP_002196322.1, XP_030119727.3, XP_030119725.3, XP_030119726.3, XP_041569766.1, XP_032602375.2, XP_041569767.1, XP_030119729.3, XP_041569765.1, XP_041569769.1, XP_041569770.1	sp|P08510|KCNAS_DROME
OG0000291	XP_030120562.1, XP_030120558.1, XP_030120557.1, XP_030120559.1, XP_030120560.1, XP_041570361.1, XP_041570362.1, XP_041573587.1, XP_041573585.1, XP_041573586.1, XP_041573583.1, XP_030133303.1, XP_030133306.1, XP_030133302.1, XP_041573582.1, XP_030133304.1, XP_030133309.1, XP_041573584.1	tr|Q9W5W4|Q9W5W4_DROME, sp|Q24246|DYIN_DROME, tr|Q7KWG3|Q7KWG3_DROME, tr|B5RJJ8|B5RJJ8_DROME, tr|T2FGB0|T2FGB0_DROME, tr|Q8IRZ3|Q8IRZ3_DROME
OG0000292	XP_041569446.1	sp|P02299|H3_DROME
OG0000292	ACH46265.1, ACH46261.1, ACH46260.1, ACH44319.1, ACH46338.1, ACH46270.1, ACH46264.1, ACH44318.1, NP_001184233.1	sp|C0HL66|H33A_DROME
OG0000292	ACH46266.1	sp|C0HL67|H33B_DROME
OG0000301	XP_030132300.1, XP_012425058.2, XP_012425060.2, XP_030132357.1, XP_030132347.1, XP_030132371.1, XP_030132215.1, XP_030132246.1, XP_030132208.1, XP_030132236.1, XP_030132244.1, XP_002196495.3, XP_012425056.2, XP_012425057.2, XP_030132229.1, XP_030132223.1, XP_030132291.1, XP_030132269.1, XP_030132379.1, XP_030132315.1, XP_030128417.3, XP_030128416.3, XP_030128415.3, XP_030128418.3	tr|M9PCG3|M9PCG3_DROME
OG0000302	XP_030137376.1, XP_041574358.1, XP_041574357.1, XP_030137372.1, XP_030137370.1, XP_030137373.3, XP_030137371.1, XP_030114133.1, XP_012433054.1, XP_032600175.1, XP_030114131.1, XP_030114130.1, XP_030114132.1, XP_032600176.1, XP_030114127.1, XP_012433057.1, XP_030114129.1, XP_012433061.1, XP_030114125.1, XP_030114126.1, XP_012433060.1, XP_012433058.1, XP_030114123.1, XP_041567025.1, XP_012433056.1, XP_030114120.1, XP_012433053.1, XP_030114121.1, XP_041567024.1, XP_041567026.1	tr|A0A6M3Q6L8|A0A6M3Q6L8_DROME
OG0000303	XP_030116268.1, XP_030116246.1, XP_030116252.1, XP_030116240.1, XP_030116304.1, XP_030116260.1, XP_030116283.1, XP_030116275.1, XP_032601660.1, XP_012424492.1, XP_030129374.3, XP_030129373.3, XP_030129372.3, XP_030129370.3, XP_030129369.3, XP_012429659.3, XP_012429660.3, XP_012429661.3, XP_030129371.3, XP_041568908.1	tr|M9PCD4|M9PCD4_DROME
OG0000305	XP_030128421.3, XP_030128422.3, XP_030134539.3, XP_012425069.4, XP_030134483.3, XP_030134489.3, XP_030134512.3, XP_012425068.4, XP_041573576.1, XP_030136184.3, XP_030136181.3, XP_030136173.3, XP_030136174.3, XP_030136175.3, XP_030136176.3, XP_030136179.3, XP_030136177.3, XP_030136178.3	tr|Q9W002|Q9W002_DROME
OG0000306	XP_030145536.3, XP_030145537.3, XP_041573129.1, XP_030132470.1, XP_030132471.1, XP_041571533.1, XP_030139671.3	tr|A0A0B4K7Q6|A0A0B4K7Q6_DROME
OG0000306	XP_041569701.1, XP_041569704.1, XP_041569700.1, XP_041569702.1, XP_041569703.1, XP_030138793.1, XP_030138792.1, XP_030138790.1, XP_030138791.1, XP_012428070.1, XP_012428062.1	tr|Q9VAS8|Q9VAS8_DROME
OG0000307	XP_030124090.3, XP_030124094.3, XP_030124088.3, XP_030124087.3, XP_030124089.3, XP_030124091.3, XP_030124092.3, XP_030124095.3, XP_030130388.3, XP_030130386.3, XP_030130384.3, XP_030130382.3, XP_030130383.3, XP_030130380.3, XP_030130381.3, XP_030130376.3, XP_030130377.3, XP_030130379.3, XP_030130378.3, XP_041572609.1, XP_030130385.3, XP_030130389.3, XP_030130387.3, XP_041568392.1	sp|Q24498|RYR_DROME
OG0000313	XP_030139300.3, XP_012427319.2, XP_041574682.1, XP_002193195.5, XP_030119508.1, XP_030139145.1, XP_030139144.1, XP_030139151.1, XP_030139147.1, XP_041574781.1, XP_041574780.1, XP_002198715.1, XP_030139149.1, XP_012428182.1, XP_041574782.1, XP_030139150.1, XP_041569814.1, XP_004186288.2, XP_032606547.1	tr|Q9V4E7|Q9V4E7_DROME
OG0000314	XP_032602493.1, XP_041570271.1, XP_041573523.1, XP_012430349.4, XP_012430350.4, XP_002197631.4, XP_030133259.3, XP_041573528.1, XP_030133262.3, XP_041573527.1, XP_030133260.3, XP_030133264.3, XP_030133263.3, XP_030134255.3, XP_030134259.3, XP_032605474.2, XP_030134253.3, XP_030134251.3, XP_030134248.3, XP_030115135.1, XP_030115136.1, XP_030134252.3, XP_041573520.1, XP_030134247.3, XP_030134258.3, XP_030134256.3, XP_030133271.3, XP_041573522.1, XP_012430347.4, XP_041577517.1	sp|P35500|SCNA_DROME
OG0000315	XP_030112332.1, XP_030112331.1, XP_030112333.1, XP_030112335.1, XP_030112334.1, XP_002197932.1, XP_030112337.1, XP_030112338.1	tr|Q9XZ10|Q9XZ10_DROME
OG0000315	XP_012433457.2, XP_030129610.1, XP_030129611.1, XP_030129612.1	tr|A1ZBF7|A1ZBF7_DROME
OG0000315	XP_002197164.5	tr|Q9VE75|Q9VE75_DROME, tr|Q9VE77|Q9VE77_DROME, tr|Q9VKF6|Q9VKF6_DROME
OG0000320	XP_041574129.1, XP_012431144.1, XP_012431142.1, XP_041574128.1, XP_030136318.1, XP_030136320.1, XP_012431140.1, XP_030136322.1, XP_002197720.2, XP_030136323.1, XP_012431141.1, XP_030136325.1, XP_030136326.1, XP_012431143.1, XP_030136316.1, XP_030136304.1, XP_030136324.1, XP_030136308.1, XP_012425070.1, XP_030128846.1, XP_030128845.1, XP_030128844.1, XP_030128843.1, XP_004176529.2, XP_041568171.1	tr|Q9NGK5|Q9NGK5_DROME, tr|A0A6H2EDS1|A0A6H2EDS1_DROME, tr|Q9VIC6|Q9VIC6_DROME, tr|Q9VIC7|Q9VIC7_DROME
OG0000326	XP_030128164.3, XP_030128163.3, XP_030135972.3, XP_030136183.1, XP_030136192.1	sp|P08120|CO4A1_DROME
OG0000329	XP_041574652.1, XP_041574663.1, XP_041574651.1, XP_041574647.1, XP_041574649.1, XP_041574650.1, XP_041574646.1, XP_041574648.1, XP_041574642.1, XP_041574641.1, XP_041574639.1, XP_041574640.1, XP_041574643.1, XP_041574644.1, XP_041574645.1, XP_041574653.1, XP_041574655.1, XP_041574656.1, XP_041574657.1, XP_041574660.1, XP_041574661.1, XP_041574658.1, XP_041574659.1, XP_041574662.1, XP_030112755.3, XP_030112718.3, XP_030112743.3, XP_030112750.3, XP_030112650.3, XP_032600090.2, XP_030112679.3, XP_030112673.3, XP_030112658.3, XP_030112655.3, XP_041567087.1, XP_030112769.3	sp|Q9NHE5|CAPS_DROME
OG0000330	XP_030139873.3, XP_041574887.1, XP_041574890.1, XP_041574889.1, XP_041574888.1, XP_041574891.1, XP_041574894.1, XP_041574895.1, XP_041574893.1, XP_030139874.3, XP_030126063.1, XP_030126059.1, XP_030126061.1, XP_041571457.1, XP_041571473.1, XP_041571462.1, XP_041571461.1, XP_041571459.1, XP_041571465.1, XP_041571460.1, XP_041571472.1, XP_041571466.1, XP_041571470.1	sp|Q9VYN8|TENA_DROME, sp|O61307|TENM_DROME
OG0000331	XP_030121922.1, XP_030144307.1, XP_030144308.1, XP_041576704.1, XP_030146327.3, XP_030146328.3, XP_041576702.1, XP_041576703.1, XP_041576714.1, XP_041576205.1, XP_030144656.3, XP_030144657.3, XP_030125749.3, XP_030125750.3, XP_032603170.2, XP_002190752.4, XP_030123635.3	sp|Q9V9J3|SRC42_DROME
OG0000335	XP_030139427.1, XP_030139428.1, XP_030139426.1, XP_032606554.1, XP_030139423.1, XP_030139431.1, XP_041574672.1, XP_030139422.1, XP_030139421.1, XP_030139410.1, XP_030139411.1, XP_030139412.1, XP_030139409.1, XP_030139408.1, XP_041574671.1, XP_030139418.1, XP_041574675.1, XP_041574673.1, XP_041574674.1, XP_030139433.1, XP_030139430.1, XP_030116906.1, XP_030116941.1, XP_041569398.1, XP_030116973.1, XP_041577314.1, XP_041577315.1, XP_030116900.1	tr|Q59DP9|Q59DP9_DROME
OG0000348	XP_030130912.1, XP_012429583.1, XP_030130915.1, XP_030130916.1, XP_030130913.1, XP_030130914.1, XP_030130917.1, XP_030130924.1, XP_030130921.1, XP_030130918.1, XP_030130919.1, XP_030130922.1, XP_030130923.1, XP_012429591.1, XP_030125018.1, XP_002189674.2, XP_030125020.1, XP_030125019.1, XP_030116337.3, XP_030116338.3	tr|A1ZBL9|A1ZBL9_DROME
OG0000349	XP_041572883.1, XP_030132000.3, XP_030131993.3	tr|Q9VC63|Q9VC63_DROME
OG0000349	XP_030124380.3, XP_012427905.3, XP_030124381.3, XP_030124382.3, XP_030124379.3	tr|Q9VLP5|Q9VLP5_DROME
OG0000349	XP_030140454.3, XP_030140453.3	tr|Q9W2I5|Q9W2I5_DROME, tr|Q9VAN4|Q9VAN4_DROME, tr|Q961D3|Q961D3_DROME
OG0000354	XP_030141291.3	tr|Q9VAV5|Q9VAV5_DROME
OG0000354	XP_030140607.3, XP_041575053.1, XP_030140606.3, XP_041575051.1	tr|Q9VZ77|Q9VZ77_DROME
OG0000354	XP_012427675.4, XP_030139216.3	tr|Q7KVA7|Q7KVA7_DROME
OG0000355	XP_041571660.1, XP_041571661.1, XP_041571651.1, XP_041571654.1, XP_041571663.1, XP_041571656.1, XP_041571664.1, XP_041571657.1, XP_041571658.1, XP_030126889.3, XP_041571655.1, XP_041571653.1, XP_041571652.1, XP_041571659.1, XP_041571662.1, XP_032604482.2, XP_041572453.1, XP_032604477.2, XP_041572451.1, XP_032604478.2, XP_030130315.3, XP_012425218.3, XP_041572439.1, XP_030130341.3, XP_030130331.3	sp|Q9VT28|FRY_DROME
OG0000361	XP_030124804.3, XP_030124808.3, XP_032603301.2, XP_032603299.2, XP_030124802.3, XP_041571325.1, XP_030124803.3, XP_030124805.3, XP_030124813.3, XP_030124812.3, XP_041571326.1, XP_030124807.3, XP_030124810.3, XP_030124809.3, XP_030124811.3, XP_030130898.1, XP_030130901.1, XP_030130899.1, XP_030130897.1, XP_030130902.1, XP_030130895.1, XP_030130896.1, XP_030130892.1, XP_030130893.1, XP_030130894.1, XP_030130903.1, XP_030130904.1, XP_030130900.1, XP_032604777.1	sp|Q9W1B0|GEK_DROME
OG0000362	NP_001232153.1, ACH46336.1	sp|P12982|PP12_DROME, sp|Q05547|PP13_DROME
OG0000362	XP_030125048.1	sp|P48462|PP1B_DROME
OG0000362	ACH43710.1, NP_001232237.1, XP_030128924.1	tr|Q7KVM5|Q7KVM5_DROME, tr|A8QI94|A8QI94_DROME, tr|Q9VQL9|Q9VQL9_DROME, sp|P11612|PPY_DROME, tr|Q9W2A5|Q9W2A5_DROME, tr|Q5LJN2|Q5LJN2_DROME
OG0000375	XP_002196027.5, XP_004175276.4	sp|Q9V5Z7|AQP_DROME
OG0000375	XP_002196264.1, XP_030115396.3, XP_030115481.3, XP_030115472.1	tr|D3DMU9|D3DMU9_DROME
OG0000389	XP_041571900.1, XP_041571898.1, XP_030126189.3, XP_041571899.1, XP_030130086.3, XP_030130076.3, XP_030130056.3, XP_030130067.3, XP_041575741.1, XP_030130021.3, XP_041575739.1, XP_030130014.3, XP_030130031.3, XP_030130039.3, XP_041575746.1, XP_041575760.1, XP_041575742.1, XP_041575748.1, XP_030130046.3	sp|Q9W4E2|NBEA_DROME
OG0000390	XP_012428789.1, XP_030127674.1, XP_041571883.1, XP_030127675.1, XP_030127673.1, XP_041571886.1, XP_030127670.1, XP_002189300.2, XP_030127689.1, XP_012428787.1, XP_041571881.1, XP_041571882.1, XP_041571885.1, XP_041571884.1, XP_002199409.1, XP_041574919.1, XP_002199405.1, XP_032606797.1, XP_012429934.1, XP_030140075.1, XP_030131879.1, XP_030131881.1, XP_030131880.1, XP_030131884.1, XP_030131883.1, XP_030131882.1, XP_030131878.1	sp|P92208|JNK_DROME
OG0000391	XP_030139033.1, XP_041574739.1, XP_041574738.1, XP_030139028.2, XP_030139032.2, XP_030139027.2, XP_030139030.1, XP_030139036.2, XP_030139029.2, XP_030139031.2, XP_030139038.2, XP_030139034.2, XP_030139035.2, XP_030139037.2, XP_030139039.2, XP_030147766.3, XP_030147765.3, XP_030119353.3, XP_030119352.3, XP_030119354.3	sp|P29993|ITPR_DROME
OG0000393	XP_030119687.1, XP_030119686.1, XP_030119688.1, XP_030119683.1, XP_030119681.1, XP_030119689.1, XP_030119690.1, XP_032602365.1, XP_030119682.1, XP_030119684.1, XP_041569567.1, XP_030119691.1, XP_030119692.1, XP_012424744.1, XP_041569569.1, XP_012424748.1, XP_002187266.1, XP_041569571.1, XP_032602366.1, XP_012424743.1, XP_012424746.1, XP_030119693.1, XP_032602367.1, XP_012424738.1, XP_041569568.1, XP_012424742.1, XP_041569573.1, XP_041569572.1, XP_030119695.1, XP_041569570.1, XP_041569574.1, XP_041569575.1	tr|Q8IMW9|Q8IMW9_DROME
OG0000402	XP_030126685.3, XP_030126655.3, XP_030126668.3, XP_030126696.3, XP_030126741.3, XP_030126726.3, XP_030126732.3, XP_030126747.3, XP_030126706.3, XP_030126721.3, XP_030126738.3, XP_030126676.3, XP_030126774.3, XP_030126670.3, XP_030126663.3, XP_030126649.3, XP_030126756.3	sp|Q9NB71|HIW_DROME
OG0000403	XP_030131789.1, XP_041576415.1, ACH45905.1, ACH45900.1, XP_041576414.1, ACH45902.1, ACH45899.1, NP_001232139.1, ACH45903.1, ACH45897.1, ACH45901.1, ACH45904.1, ACH45898.1, NP_001232143.1, XP_041567016.1, XP_041567015.1, XP_030140198.3, XP_030140197.3	tr|Q9VKP2|Q9VKP2_DROME, sp|Q94920|VDAC_DROME
OG0000404	XP_041566861.1, XP_012424328.4, XP_030148024.3, XP_002194164.5, XP_030148001.3, XP_012424329.4, XP_030148008.3, XP_032599736.2, XP_032599748.2, XP_030147976.3	tr|Q9VKW4|Q9VKW4_DROME
OG0000410	XP_041571507.1, XP_041571503.1, XP_041571501.1, XP_041571504.1, XP_041571502.1, XP_041571499.1, XP_041571500.1, XP_030140177.1, XP_030140178.1, XP_030140175.1, XP_030140176.1, XP_030140173.1, XP_030140172.1, XP_030140174.1, XP_032606818.1, XP_002194626.1, XP_030132496.1, XP_032605119.1, XP_032605120.1, XP_012430146.1, XP_030132497.1, XP_032605121.1, XP_030132498.1, XP_041576417.1, NP_001158007.1	sp|P56721|COLL_DROME
OG0000411	XP_002198534.2, XP_030120345.1, XP_030120344.1	sp|P20228|DCE_DROME
OG0000411	XP_041567440.1, XP_041567435.1, XP_041567441.1, XP_041567439.1, XP_041567436.1, XP_041567434.1, XP_041567442.1, XP_041567444.1, XP_041567443.1, XP_030115049.1, XP_041567445.1	tr|Q24062|Q24062_DROME
OG0000418	XP_030122923.3, XP_041570578.1, XP_032602789.2, XP_030133000.1, XP_041573432.1, XP_030132998.1, XP_030132986.3, XP_030132991.3, XP_030132992.3, XP_030132985.3, XP_030132987.3, XP_030132990.3, XP_030132989.3, XP_030132994.3, XP_041573431.1, XP_030132995.3	tr|Q7KVD1|Q7KVD1_DROME
