Orthogroup	finch	bombus
OG0000189	XP_030132651.1, XP_030132652.1, XP_030132654.1, XP_030132653.1, XP_030132660.1, XP_030132655.1, XP_030132656.1, XP_030132658.1, XP_030132659.1, XP_041576525.1, XP_041576527.1, XP_041576528.1, XP_041576521.1, XP_041576522.1, XP_041576524.1, XP_041576523.1, XP_041576526.1, XP_041576529.1	XP_024225890.1, XP_033178657.1, XP_033178659.1, XP_024225889.1
OG0000189	XP_030127944.1, XP_030127947.1, XP_030127946.1, XP_030139799.1, XP_002198859.1	XP_033178660.1, XP_024225892.1
OG0000209	XP_030128066.3, XP_041571989.1, XP_030128065.3, XP_030128067.3, XP_030128069.3, XP_030128070.3, XP_041567462.1, XP_030134211.3, XP_030134214.3, XP_030134213.3, XP_030134212.3, XP_030134215.3, XP_030134208.3, XP_030134210.3, XP_030134221.3, XP_030134217.3, XP_030120860.1, XP_030120858.1, XP_030120859.1, XP_030120857.1, XP_030120856.1, XP_030120851.1, XP_030120852.1, XP_004175420.2	XP_033179945.1, XP_033179944.1, XP_033179946.1, XP_033179940.1, XP_033179941.1, XP_033179942.1, XP_033179949.1, XP_033179951.1, XP_033179952.1, XP_033179953.1, XP_033179956.1, XP_033179947.1, XP_033179943.1, XP_033179950.1, XP_033179948.1, XP_033179955.1, XP_033179954.1
OG0000213	XP_030137218.1, XP_030143135.1	XP_003488485.1
OG0000213	XP_030144725.3	XP_012236310.1
OG0000213	XP_030124160.1, XP_002200536.1, XP_030145731.1, XP_030131904.1	XP_012236309.1
OG0000213	XP_030140438.1	XP_012244763.1
OG0000215	XP_030130064.3, XP_030130070.3, XP_012429603.3, XP_041572537.1, XP_002200015.3, XP_030130063.3, XP_032604642.2, XP_041572534.1, XP_041572533.1, XP_030130052.3, XP_032604644.2, XP_030130057.3, XP_032604645.2, XP_032604646.2, XP_032604647.2, XP_030130079.3, XP_030130075.3, XP_032604650.2, XP_030130068.3, XP_030130066.3, XP_030130065.3, XP_030130061.3, XP_030130051.3, XP_030130047.3, XP_041572529.1, XP_041572530.1, XP_030130049.3, XP_030130062.3, XP_032604643.2, XP_041572531.1, XP_041572528.1, XP_030130053.3, XP_041572535.1, XP_041572536.1, XP_030130077.3, XP_032604653.2, XP_032604651.2, XP_032604649.2, XP_032604648.2	XP_033179652.1, XP_033179653.1, XP_033179656.1, XP_033179658.1, XP_024227008.1, XP_012247322.1, XP_012247321.1, XP_012247325.1, XP_033179654.1, XP_033179655.1
OG0000216	XP_032604300.1, XP_030128726.1, XP_012428557.1, XP_030128724.1, XP_030128723.3, XP_030128721.3, XP_012428554.1, XP_030128719.1, XP_012428560.1, XP_030128725.1, XP_032604299.2, XP_004177292.1, XP_012428563.1, XP_030128715.1, XP_030128717.1, XP_030128718.1, XP_030128716.1, XP_030131088.3, XP_030131061.3, XP_030131069.3, XP_030131078.3, XP_030136025.1, XP_030136023.1, XP_030136024.1, XP_030136026.1	XP_033177641.1, XP_033177644.1, XP_024224676.1, XP_033177645.1, XP_033177646.1, XP_033177642.1, XP_033177643.1, XP_033177648.1, XP_012243244.1, XP_033177649.1
OG0000232	XP_002194680.2, XP_032607043.1, XP_012425398.1, XP_041570741.1, XP_041568340.1, XP_041568337.1	XP_012237025.1, XP_003486939.1, XP_003491285.1, XP_033177824.1
OG0000241	XP_030145409.3, XP_030145405.3, XP_030145406.3, XP_030145408.3, XP_030145407.3, XP_041568086.1, XP_030122972.3, XP_030122963.3, XP_030122964.3, XP_030122893.3, XP_030122914.3, XP_030122883.3, XP_041570540.1, XP_030122841.3, XP_030122906.3, XP_030122872.3, XP_030122896.3, XP_030122937.3, XP_030122920.3, XP_030122927.3, XP_032602962.2	XP_024227203.1, XP_012247685.1, XP_012247686.1, XP_024227200.1, XP_012247679.1, XP_012247681.1, XP_033179816.1, XP_012247680.1, XP_012247682.1, XP_024227198.1, XP_012247684.1, XP_024227199.1, XP_012247683.1
OG0000242	XP_012430345.2	XP_012237093.2
OG0000242	XP_030114957.1, NP_001232109.1, ACH45893.1, XP_041567545.1, XP_041567543.1, XP_041567544.1, XP_030115314.1, XP_002195512.3	XP_024221129.1, XP_033174975.1
OG0000242	XP_030115313.1	XP_003493745.1
OG0000242	XP_030136299.1	XP_003484907.1
OG0000242	XP_012424791.4	XP_024222663.1, XP_012239749.1
OG0000263	XP_030114687.1, XP_030114688.1, XP_030114689.1, XP_041567404.1, XP_030114692.1, XP_030114696.1, XP_030136939.3, XP_030136941.3	XP_033174542.1, XP_033174543.1, XP_033174541.1, XP_033174538.1, XP_033174536.1, XP_012236128.1, XP_033174539.1, XP_033174537.1, XP_033174544.1
OG0000263	XP_030114699.3, XP_030114698.3, XP_041567405.1, XP_030114700.3	XP_033177291.1
OG0000264	XP_030131613.3, XP_030131612.3, XP_030131611.3, XP_032604962.2, XP_030131608.3, XP_030131610.3, XP_041573126.1, XP_041573128.1	XP_012237206.1, XP_012237205.1
OG0000272	XP_030147894.3, XP_041569794.1, XP_041569792.1, XP_041569797.1, XP_041569795.1, XP_041569793.1, XP_041569791.1, XP_041569786.1, XP_041569787.1, XP_041569790.1, XP_030119753.3, XP_041568078.1, XP_041568077.1, XP_030139100.1, XP_030139099.1, XP_030139094.1, XP_030139093.1, XP_030139090.1, XP_030139089.1, XP_030139091.1, XP_030139098.1, XP_041574724.1, XP_041574729.1, XP_041574728.1, XP_041574731.1, XP_041574725.1, XP_041574730.1, XP_041574726.1, XP_041574727.1	XP_024223898.1, XP_003490120.2, XP_024223897.1, XP_033177043.1, XP_033177044.1, XP_033177046.1, XP_033177042.1, XP_033177045.1
OG0000273	XP_030132637.1, XP_030132638.1, XP_012429933.2, XP_030132636.1, XP_030132639.1, XP_030132640.1	XP_033174479.1, XP_033174478.1, XP_033174477.1, XP_033174473.1, XP_024220469.1, XP_033174472.1, XP_033174476.1
OG0000273	XP_032605170.1, XP_030132625.1, XP_032605169.1, XP_030132624.1, XP_030132629.1, XP_030132611.1, XP_030132627.1, XP_030132626.1, XP_030132621.1, XP_030132623.1, XP_030132602.1, XP_030132600.1, XP_030132598.1, XP_030132605.1, XP_012429932.2, XP_030132634.1, XP_030132632.1, XP_030132597.1, XP_030132603.1, XP_030132618.1, XP_030132614.1, XP_041572941.1, XP_041572943.1, XP_041572942.1, XP_030132599.1	XP_033174475.1, XP_033174468.1, XP_012250384.1, XP_033174469.1, XP_033174466.1, XP_033174465.1, XP_024220456.1, XP_033174482.1, XP_033174455.1, XP_033174448.1, XP_033174460.1, XP_033174447.1, XP_033174463.1, XP_033174461.1, XP_033174464.1, XP_033174471.1, XP_033174474.1, XP_024220478.1, XP_024220467.1, XP_033174456.1, XP_033174454.1, XP_033174459.1, XP_033174486.1, XP_033174462.1, XP_033174485.1, XP_024220468.1, XP_024220480.1, XP_024220476.1, XP_033174483.1, XP_033174470.1, XP_033174484.1, XP_033174481.1
OG0000274	XP_030144930.1, XP_030144931.1, XP_030144933.1, XP_030144935.1, NP_001191893.1, XP_030144934.1, XP_030144932.1, XP_030144936.1, XP_030144937.1, XP_030144939.1, XP_030144938.1, XP_030136160.1, XP_041574205.1, XP_041574204.1, XP_030136159.1, XP_030136158.1, XP_041574203.1, XP_030136154.1, XP_030136150.1, XP_041574202.1, XP_030136151.1, XP_030136152.1, XP_030136149.1, XP_041574200.1, XP_030136145.1, XP_030136146.1, XP_030136147.1, XP_030136161.1, XP_041574201.1, XP_030136143.1, XP_030136144.1, XP_030136148.1, XP_030131342.3	XP_024228102.1, XP_024228099.1, XP_033180608.1, XP_024228100.1, XP_024228097.1, XP_024228096.1, XP_024228093.1, XP_024228092.1, XP_024228098.1, XP_024228108.1, XP_033180609.1, XP_024228111.1, XP_024228109.1, XP_024228103.1, XP_024228105.1, XP_033180610.1, XP_024228110.1, XP_033180611.1, XP_024228112.1
OG0000275	XP_030125040.3, XP_030118983.3, XP_041569506.1, XP_030124446.3, XP_030124448.3, XP_030124447.3, XP_041567942.1, XP_041570818.1, XP_041570822.1, XP_030124797.3, XP_030124796.3, XP_030131360.3, XP_030131358.3, XP_030131357.3, XP_002191439.3	XP_003490043.1, XP_012241851.1, XP_012241853.1, XP_012241854.1, XP_012241850.1, XP_024223852.1, XP_012241846.1, XP_012241856.1, XP_012241855.1, XP_012241848.1, XP_012241845.1, XP_012241844.1, XP_012241847.1, XP_012241849.1
OG0000278	XP_002193857.5, XP_004176232.1, XP_032602370.1, XP_030119718.1, XP_030119717.1, XP_041569764.1, XP_002196322.1, XP_030119727.3, XP_030119725.3, XP_030119726.3, XP_041569766.1, XP_032602375.2, XP_041569767.1, XP_030119729.3, XP_041569765.1, XP_041569769.1, XP_041569770.1	XP_033174779.1, XP_033174775.1, XP_033174778.1, XP_033174764.1, XP_033174761.1, XP_024220670.1, XP_012236523.1, XP_012236493.1, XP_012236510.1, XP_024220684.1, XP_033174766.1, XP_033174783.1, XP_024220697.1
OG0000291	XP_030120562.1, XP_030120558.1, XP_030120557.1, XP_030120559.1, XP_030120560.1, XP_041570361.1, XP_041570362.1, XP_041573587.1, XP_041573585.1, XP_041573586.1, XP_041573583.1, XP_030133303.1, XP_030133306.1, XP_030133302.1, XP_041573582.1, XP_030133304.1, XP_030133309.1, XP_041573584.1	XP_033178375.1, XP_012244716.1, XP_012244718.1, XP_012244711.1, XP_012244705.1, XP_012244693.1, XP_012244691.1, XP_012244695.1, XP_012244689.1, XP_012244709.1, XP_012244698.1, XP_012244696.1, XP_012244702.1, XP_012244703.1, XP_012244706.1, XP_012244708.1, XP_012244710.1, XP_012244704.1, XP_012244701.1, XP_012244699.1, XP_024225569.1, XP_033178373.1
OG0000292	XP_041569446.1	XP_003489849.1, XP_033176790.1, XP_003492166.1, XP_003489853.1
OG0000292	ACH46270.1	XP_024225373.1
OG0000292	ACH44318.1	XP_024225371.1
OG0000292	NP_001184233.1	XP_003485156.1
OG0000292	ACH46266.1	XP_012244013.1
OG0000292	XP_030118426.1	XP_003494930.2
OG0000301	XP_030132300.1, XP_012425058.2, XP_012425060.2, XP_030132357.1, XP_030132347.1, XP_030132371.1, XP_030132215.1, XP_030132246.1, XP_030132208.1, XP_030132236.1, XP_030132244.1, XP_002196495.3, XP_012425056.2, XP_012425057.2, XP_030132229.1, XP_030132223.1, XP_030132291.1, XP_030132269.1, XP_030132379.1, XP_030132315.1, XP_030128417.3, XP_030128416.3, XP_030128415.3, XP_030128418.3	XP_012247920.1, XP_003494036.1, XP_033179904.1, XP_012247918.1, XP_012247919.1
OG0000302	XP_030137376.1, XP_041574358.1, XP_041574357.1, XP_030137372.1, XP_030137370.1, XP_030137373.3, XP_030137371.1, XP_030114133.1, XP_012433054.1, XP_032600175.1, XP_030114131.1, XP_030114130.1, XP_030114132.1, XP_032600176.1, XP_030114127.1, XP_012433057.1, XP_030114129.1, XP_012433061.1, XP_030114125.1, XP_030114126.1, XP_012433060.1, XP_012433058.1, XP_030114123.1, XP_041567025.1, XP_012433056.1, XP_030114120.1, XP_012433053.1, XP_030114121.1, XP_041567024.1, XP_041567026.1	XP_012237193.1, XP_033175019.1, XP_012237195.1, XP_033175012.1, XP_033175025.1, XP_033175024.1, XP_033175017.1, XP_033175015.1, XP_033175016.1, XP_033175013.1, XP_033175014.1, XP_033175018.1, XP_033175032.1, XP_033175029.1, XP_033175030.1, XP_033175028.1, XP_033175031.1, XP_012237198.1, XP_033175026.1, XP_012237197.1, XP_012237196.1, XP_033175027.1, XP_033175022.1, XP_033175020.1, XP_033175023.1
OG0000303	XP_030116268.1, XP_030116246.1, XP_030116252.1, XP_030116240.1, XP_030116304.1, XP_030116260.1, XP_030116283.1, XP_030116275.1, XP_032601660.1, XP_012424492.1, XP_030129374.3, XP_030129373.3, XP_030129372.3, XP_030129370.3, XP_030129369.3, XP_012429659.3, XP_012429660.3, XP_012429661.3, XP_030129371.3, XP_041568908.1	XP_033178059.1, XP_033178061.1, XP_033178045.1, XP_033178054.1, XP_033178086.1, XP_033178082.1, XP_033178093.1, XP_033178079.1, XP_033178044.1, XP_033178050.1, XP_033178057.1, XP_012244450.1, XP_012244441.1, XP_033178055.1, XP_012244468.1, XP_003485209.1, XP_033178072.1
OG0000305	XP_030128421.3, XP_030128422.3, XP_030134539.3, XP_012425069.4, XP_030134483.3, XP_030134489.3, XP_030134512.3, XP_012425068.4, XP_041573576.1, XP_030136184.3, XP_030136181.3, XP_030136173.3, XP_030136174.3, XP_030136175.3, XP_030136176.3, XP_030136179.3, XP_030136177.3, XP_030136178.3	XP_024227498.2
OG0000306	XP_030145536.3, XP_030145537.3, XP_041573129.1, XP_030132470.1, XP_030132471.1, XP_041571533.1, XP_030139671.3	XP_033179093.1, XP_033179094.1, XP_024226368.1, XP_033179090.1, XP_003492822.1, XP_033179089.1, XP_033179088.1, XP_033179091.1, XP_012246112.1, XP_033179092.1
OG0000306	XP_041569701.1, XP_041569704.1, XP_041569700.1, XP_041569702.1, XP_041569703.1, XP_030138793.1, XP_030138792.1, XP_030138790.1, XP_030138791.1, XP_012428070.1, XP_012428062.1	XP_012242024.1, XP_003490179.1, XP_024223955.1, XP_012242025.1
OG0000307	XP_030124090.3, XP_030124094.3, XP_030124088.3, XP_030124087.3, XP_030124089.3, XP_030124091.3, XP_030124092.3, XP_030124095.3, XP_030130388.3, XP_030130386.3, XP_030130384.3, XP_030130382.3, XP_030130383.3, XP_030130380.3, XP_030130381.3, XP_030130376.3, XP_030130377.3, XP_030130379.3, XP_030130378.3, XP_041572609.1, XP_030130385.3, XP_030130389.3, XP_030130387.3, XP_041568392.1	XP_033174529.1, XP_033174534.1, XP_033174516.1, XP_024220613.1, XP_024220608.1, XP_033174507.1, XP_033174510.1, XP_033174521.1, XP_033174525.1, XP_033174532.1, XP_012250199.1
OG0000313	XP_030139300.3, XP_012427319.2, XP_041574682.1, XP_002193195.5, XP_030119508.1, XP_030139145.1, XP_030139144.1, XP_030139151.1, XP_030139147.1, XP_041574781.1, XP_041574780.1, XP_002198715.1, XP_030139149.1, XP_012428182.1, XP_041574782.1, XP_030139150.1, XP_041569814.1, XP_004186288.2, XP_032606547.1	XP_003490309.1, XP_012242312.1, XP_012242313.1, XP_012242315.1, XP_024222087.1, XP_024222086.1, XP_003487999.1, XP_033175657.1
OG0000314	XP_032602493.1, XP_041570271.1, XP_041573523.1, XP_012430349.4, XP_012430350.4, XP_002197631.4, XP_030133259.3, XP_041573528.1, XP_030133262.3, XP_041573527.1, XP_030133260.3, XP_030133264.3, XP_030133263.3, XP_030134255.3, XP_030134259.3, XP_032605474.2, XP_030134253.3, XP_030134251.3, XP_030134248.3, XP_030115135.1, XP_030115136.1, XP_030134252.3, XP_041573520.1, XP_030134247.3, XP_030134258.3, XP_030134256.3, XP_030133271.3, XP_041573522.1, XP_012430347.4, XP_041577517.1	XP_024222846.1, ARH02610.1
OG0000315	XP_030112332.1, XP_030112331.1, XP_030112333.1, XP_030112335.1, XP_030112334.1, XP_002197932.1, XP_030112337.1, XP_030112338.1	XP_003486240.1, XP_024220329.1, XP_003486241.1, XP_012250272.1
OG0000315	XP_002197164.5	XP_012236617.1, XP_012236613.1, XP_012236637.1
OG0000320	XP_041574129.1, XP_012431144.1, XP_012431142.1, XP_041574128.1, XP_030136318.1, XP_030136320.1, XP_012431140.1, XP_030136322.1, XP_002197720.2, XP_030136323.1, XP_012431141.1, XP_030136325.1, XP_030136326.1, XP_012431143.1, XP_030136316.1, XP_030136304.1, XP_030136324.1, XP_030136308.1, XP_012425070.1, XP_030128846.1, XP_030128845.1, XP_030128844.1, XP_030128843.1, XP_004176529.2, XP_041568171.1	XP_033176850.1, XP_033175178.1, XP_003487310.1, XP_003488839.2
OG0000326	XP_030128164.3, XP_030128163.3, XP_030135972.3, XP_030136183.1, XP_030136192.1	XP_024225532.1
OG0000329	XP_041574652.1, XP_041574663.1, XP_041574651.1, XP_041574647.1, XP_041574649.1, XP_041574650.1, XP_041574646.1, XP_041574648.1, XP_041574642.1, XP_041574641.1, XP_041574639.1, XP_041574640.1, XP_041574643.1, XP_041574644.1, XP_041574645.1, XP_041574653.1, XP_041574655.1, XP_041574656.1, XP_041574657.1, XP_041574660.1, XP_041574661.1, XP_041574658.1, XP_041574659.1, XP_041574662.1, XP_030112755.3, XP_030112718.3, XP_030112743.3, XP_030112750.3, XP_030112650.3, XP_032600090.2, XP_030112679.3, XP_030112673.3, XP_030112658.3, XP_030112655.3, XP_041567087.1, XP_030112769.3	XP_024223806.1, XP_033176958.1, XP_033176957.1, XP_012241929.1, XP_024223807.1, XP_012241930.1
OG0000330	XP_030139873.3, XP_041574887.1, XP_041574890.1, XP_041574889.1, XP_041574888.1, XP_041574891.1, XP_041574894.1, XP_041574895.1, XP_041574893.1, XP_030139874.3, XP_030126063.1, XP_030126059.1, XP_030126061.1, XP_041571457.1, XP_041571473.1, XP_041571462.1, XP_041571461.1, XP_041571459.1, XP_041571465.1, XP_041571460.1, XP_041571472.1, XP_041571466.1, XP_041571470.1	XP_012240989.1, XP_012241004.1, XP_012240996.1, XP_033175144.1, XP_033175143.1, XP_033175142.1, XP_033175145.1, XP_033175140.1, XP_033175141.1, XP_033175139.1, XP_033175138.1, XP_033175136.1
OG0000331	XP_030121922.1, XP_030144307.1, XP_030144308.1, XP_041576704.1, XP_030146327.3, XP_030146328.3, XP_041576702.1, XP_041576703.1, XP_041576714.1, XP_041576205.1, XP_030144656.3, XP_030144657.3, XP_030125749.3, XP_030125750.3, XP_032603170.2, XP_002190752.4, XP_030123635.3	XP_003487134.1, XP_033175082.1, XP_003487132.1, XP_012237277.1
OG0000335	XP_030139427.1, XP_030139428.1, XP_030139426.1, XP_032606554.1, XP_030139423.1, XP_030139431.1, XP_041574672.1, XP_030139422.1, XP_030139421.1, XP_030139410.1, XP_030139411.1, XP_030139412.1, XP_030139409.1, XP_030139408.1, XP_041574671.1, XP_030139418.1, XP_041574675.1, XP_041574673.1, XP_041574674.1, XP_030139433.1, XP_030139430.1, XP_030116906.1, XP_030116941.1, XP_041569398.1, XP_030116973.1, XP_041577314.1, XP_041577315.1, XP_030116900.1	XP_033176470.1, XP_033176469.1, XP_033176466.1, XP_033176467.1, XP_033176468.1, XP_012240661.1, XP_033176465.1, XP_033176463.1, XP_033176457.1, XP_033176460.1, XP_033176462.1, XP_033176459.1, XP_033176458.1, XP_033176464.1
OG0000336	XP_012426295.1, XP_012426294.1, XP_030147578.1, XP_030147580.1, XP_030147575.1, XP_012426293.1, XP_030147568.1, XP_030147572.1, XP_030147581.1, XP_030147582.1, XP_030147579.1, XP_002188915.1, XP_012426296.1, XP_030113079.1, XP_030113077.1, XP_012432992.1, XP_012432991.1, XP_030147571.1, XP_030147567.1, XP_030147576.1, XP_002189354.2, XP_030147573.1, XP_030147574.1	XP_012238704.1
OG0000348	XP_030130912.1, XP_012429583.1, XP_030130915.1, XP_030130916.1, XP_030130913.1, XP_030130914.1, XP_030130917.1, XP_030130924.1, XP_030130921.1, XP_030130918.1, XP_030130919.1, XP_030130922.1, XP_030130923.1, XP_012429591.1, XP_030125018.1, XP_002189674.2, XP_030125020.1, XP_030125019.1, XP_030116337.3, XP_030116338.3	XP_012244965.1, XP_033178512.1, XP_033178523.1, XP_033178522.1, XP_033178521.1, XP_033178520.1, XP_033178524.1, XP_033178518.1, XP_033178519.1, XP_033178517.1, XP_033178516.1, XP_033178515.1, XP_033178511.1, XP_033178514.1, XP_033178513.1, XP_033178527.1, XP_033178526.1, XP_033178525.1, XP_012244978.1, XP_012244985.1, XP_012244981.1, XP_012244980.1, XP_033178528.1, XP_012244982.1, XP_012244984.1
OG0000349	XP_041572883.1, XP_030132000.3, XP_030131993.3	XP_012237084.1, XP_012237083.1, XP_012237082.1
OG0000349	XP_030124380.3, XP_012427905.3, XP_030124381.3, XP_030124382.3, XP_030124379.3	XP_012239735.1, XP_012239734.1
OG0000354	XP_030141291.3	XP_033178679.1
OG0000354	XP_030139007.3	XP_033178070.1
OG0000354	XP_030140607.3, XP_041575053.1, XP_030140606.3, XP_041575051.1	XP_033180303.1, XP_012248682.2, XP_033180304.1
OG0000354	XP_012427675.4, XP_030139216.3	XP_024223548.2, XP_033180824.1, XP_033180825.1
OG0000355	XP_041571660.1, XP_041571661.1, XP_041571651.1, XP_041571654.1, XP_041571663.1, XP_041571656.1, XP_041571664.1, XP_041571657.1, XP_041571658.1, XP_030126889.3, XP_041571655.1, XP_041571653.1, XP_041571652.1, XP_041571659.1, XP_041571662.1, XP_032604482.2, XP_041572453.1, XP_032604477.2, XP_041572451.1, XP_032604478.2, XP_030130315.3, XP_012425218.3, XP_041572439.1, XP_030130341.3, XP_030130331.3	XP_033175527.1
OG0000361	XP_030124804.3, XP_030124808.3, XP_032603301.2, XP_032603299.2, XP_030124802.3, XP_041571325.1, XP_030124803.3, XP_030124805.3, XP_030124813.3, XP_030124812.3, XP_041571326.1, XP_030124807.3, XP_030124810.3, XP_030124809.3, XP_030124811.3, XP_030130898.1, XP_030130901.1, XP_030130899.1, XP_030130897.1, XP_030130902.1, XP_030130895.1, XP_030130896.1, XP_030130892.1, XP_030130893.1, XP_030130894.1, XP_030130903.1, XP_030130904.1, XP_030130900.1, XP_032604777.1	XP_033176760.1, XP_033176759.1, XP_024223610.1, XP_033176758.1, XP_003489761.1, XP_033176761.1
OG0000362	NP_001232153.1, ACH46336.1	XP_003490733.1
OG0000362	XP_030125048.1	XP_012247951.1, XP_012247959.1
OG0000362	ACH43710.1, NP_001232237.1, XP_030128924.1	XP_012247933.1, XP_012247941.1, XP_033180245.1, XP_033180241.1, XP_024227550.2, XP_033180254.1, XP_033180243.1
OG0000375	XP_002196027.5, XP_004175276.4	XP_003487534.1, XP_012237980.1, XP_003487533.1
OG0000375	XP_002196264.1, XP_030115396.3, XP_030115481.3, XP_030115472.1	XP_012238040.1, XP_012238039.1
OG0000389	XP_041571900.1, XP_041571898.1, XP_030126189.3, XP_041571899.1, XP_030130086.3, XP_030130076.3, XP_030130056.3, XP_030130067.3, XP_041575741.1, XP_030130021.3, XP_041575739.1, XP_030130014.3, XP_030130031.3, XP_030130039.3, XP_041575746.1, XP_041575760.1, XP_041575742.1, XP_041575748.1, XP_030130046.3	XP_024224914.1, XP_024224924.1, XP_024224922.1, XP_024224921.1, XP_024224918.1, XP_024224917.1, XP_024224915.1, XP_024224916.1, XP_024224927.1, XP_024224919.1, XP_024224920.1, XP_024224923.1, XP_024224926.1, XP_033177838.1, XP_033177839.1, XP_024224925.1
