Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,acute/chronic,housing,region,sex,source_name
SRR11246664,RNA-Seq,100,926702100,PRJNA610626,SAMN14307444,392088715,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857130,GSM4386442,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386442,SRP251749,CHR,G,AMY,female,Brain
SRR11246665,RNA-Seq,100,947805700,PRJNA610626,SAMN14307444,404194513,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857130,GSM4386442,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386442,SRP251749,CHR,G,AMY,female,Brain
SRR11246666,RNA-Seq,100,1035419200,PRJNA610626,SAMN14307438,455237205,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857131,GSM4386443,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386443,SRP251749,CHR,G,AMY,male,Brain
SRR11246667,RNA-Seq,100,1047144800,PRJNA610626,SAMN14307438,480061322,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857131,GSM4386443,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386443,SRP251749,CHR,G,AMY,male,Brain
SRR11246668,RNA-Seq,100,937906200,PRJNA610626,SAMN14307443,411461261,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857132,GSM4386444,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386444,SRP251749,CHR,G,AMY,male,Brain
SRR11246669,RNA-Seq,100,920092900,PRJNA610626,SAMN14307443,407611569,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857132,GSM4386444,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386444,SRP251749,CHR,G,AMY,male,Brain
SRR11246670,RNA-Seq,100,983269300,PRJNA610626,SAMN14307442,431210371,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857133,GSM4386445,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386445,SRP251749,CHR,G,AMY,male,Brain
SRR11246671,RNA-Seq,100,1009409600,PRJNA610626,SAMN14307442,449386095,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857133,GSM4386445,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386445,SRP251749,CHR,G,AMY,male,Brain
SRR11246672,RNA-Seq,100,1008348400,PRJNA610626,SAMN14307442,449347959,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857133,GSM4386445,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386445,SRP251749,CHR,G,AMY,male,Brain
SRR11246673,RNA-Seq,100,909404600,PRJNA610626,SAMN14307441,403041840,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857134,GSM4386446,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386446,SRP251749,CHR,G,AMY,male,Brain
SRR11246674,RNA-Seq,100,905095300,PRJNA610626,SAMN14307441,400853216,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857134,GSM4386446,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386446,SRP251749,CHR,G,AMY,male,Brain
SRR11246701,RNA-Seq,100,800822600,PRJNA610626,SAMN14307430,350174234,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857160,GSM4386456,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386456,SRP251749,CHR,G,AMY,female,Brain
SRR11246702,RNA-Seq,100,820744300,PRJNA610626,SAMN14307430,378841089,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7857160,GSM4386456,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386456,SRP251749,CHR,G,AMY,female,Brain
SRR11246703,RNA-Seq,100,815777600,PRJNA610626,SAMN14307430,381099188,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857160,GSM4386456,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386456,SRP251749,CHR,G,AMY,female,Brain
SRR11246704,RNA-Seq,100,863869500,PRJNA610626,SAMN14307429,388887786,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857169,GSM4386457,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386457,SRP251749,CHR,G,AMY,female,Brain
SRR11246705,RNA-Seq,100,873526100,PRJNA610626,SAMN14307429,400025291,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857169,GSM4386457,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386457,SRP251749,CHR,G,AMY,female,Brain
SRR11246706,RNA-Seq,100,870777700,PRJNA610626,SAMN14307429,403114716,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7857169,GSM4386457,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386457,SRP251749,CHR,G,AMY,female,Brain
SRR11246719,RNA-Seq,100,1109034800,PRJNA610626,SAMN14307424,484452386,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857174,GSM4386462,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386462,SRP251749,CHR,G,AMY,male,Brain
SRR11246720,RNA-Seq,100,1168554600,PRJNA610626,SAMN14307424,524388732,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857174,GSM4386462,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386462,SRP251749,CHR,G,AMY,male,Brain
SRR11246721,RNA-Seq,100,1151099300,PRJNA610626,SAMN14307424,514411200,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857174,GSM4386462,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386462,SRP251749,CHR,G,AMY,male,Brain
SRR11246722,RNA-Seq,100,983871800,PRJNA610626,SAMN14307423,427342365,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857175,GSM4386463,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386463,SRP251749,CHR,G,AMY,male,Brain
SRR11246723,RNA-Seq,100,1057534900,PRJNA610626,SAMN14307423,470166776,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7857175,GSM4386463,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386463,SRP251749,CHR,G,AMY,male,Brain
SRR11246724,RNA-Seq,100,1057579100,PRJNA610626,SAMN14307423,469128649,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7857175,GSM4386463,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386463,SRP251749,CHR,G,AMY,male,Brain
SRR11246731,RNA-Seq,100,761927300,PRJNA610626,SAMN14307420,327429692,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857178,GSM4386466,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386466,SRP251749,CHR,G,AMY,female,Brain
SRR11246732,RNA-Seq,100,758009900,PRJNA610626,SAMN14307420,324516849,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857178,GSM4386466,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386466,SRP251749,CHR,G,AMY,female,Brain
SRR11246733,RNA-Seq,100,772858400,PRJNA610626,SAMN14307420,333466065,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857178,GSM4386466,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386466,SRP251749,CHR,G,AMY,female,Brain
SRR11246734,RNA-Seq,100,1096529300,PRJNA610626,SAMN14307419,480063987,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857179,GSM4386467,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386467,SRP251749,CHR,G,AMY,male,Brain
SRR11246735,RNA-Seq,100,1154394800,PRJNA610626,SAMN14307419,519319312,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857179,GSM4386467,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386467,SRP251749,CHR,G,AMY,male,Brain
SRR11246736,RNA-Seq,100,1137351800,PRJNA610626,SAMN14307419,509604372,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857179,GSM4386467,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386467,SRP251749,CHR,G,AMY,male,Brain
SRR11246737,RNA-Seq,100,969183900,PRJNA610626,SAMN14307418,423480969,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857180,GSM4386468,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386468,SRP251749,CHR,G,AMY,male,Brain
SRR11246738,RNA-Seq,100,1019431700,PRJNA610626,SAMN14307418,457700979,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7857180,GSM4386468,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386468,SRP251749,CHR,G,AMY,male,Brain
SRR11246739,RNA-Seq,100,1003203200,PRJNA610626,SAMN14307418,448700211,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857180,GSM4386468,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386468,SRP251749,CHR,G,AMY,male,Brain
SRR11245814,RNA-Seq,100,965390200,PRJNA610626,SAMN14307562,421175728,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857445,GSM4386375,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386375,SRP251749,A,G,AMY,female,Brain
SRR11245815,RNA-Seq,100,986158000,PRJNA610626,SAMN14307562,429487130,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857445,GSM4386375,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386375,SRP251749,A,G,AMY,female,Brain
SRR11245816,RNA-Seq,100,981644500,PRJNA610626,SAMN14307561,419262156,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857446,GSM4386376,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386376,SRP251749,A,G,AMY,female,Brain
SRR11245817,RNA-Seq,100,987497200,PRJNA610626,SAMN14307561,424258321,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857446,GSM4386376,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386376,SRP251749,A,G,AMY,female,Brain
SRR11245818,RNA-Seq,100,983762600,PRJNA610626,SAMN14307561,423430133,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857446,GSM4386376,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386376,SRP251749,A,G,AMY,female,Brain
SRR11245819,RNA-Seq,100,704831500,PRJNA610626,SAMN14307560,297764009,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857455,GSM4386377,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386377,SRP251749,A,G,AMY,female,Brain
SRR11245820,RNA-Seq,100,719432900,PRJNA610626,SAMN14307560,306441129,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857455,GSM4386377,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386377,SRP251749,A,G,AMY,female,Brain
SRR11245821,RNA-Seq,100,715232900,PRJNA610626,SAMN14307560,306384697,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857455,GSM4386377,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386377,SRP251749,A,G,AMY,female,Brain
SRR11245822,RNA-Seq,100,727276500,PRJNA610626,SAMN14307559,307565071,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857456,GSM4386378,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386378,SRP251749,A,G,AMY,female,Brain
SRR11245823,RNA-Seq,100,742555400,PRJNA610626,SAMN14307559,316540493,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857456,GSM4386378,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386378,SRP251749,A,G,AMY,female,Brain
SRR11245824,RNA-Seq,100,738905600,PRJNA610626,SAMN14307559,316865417,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857456,GSM4386378,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386378,SRP251749,A,G,AMY,female,Brain
SRR11245825,RNA-Seq,100,912814200,PRJNA610626,SAMN14307558,392627364,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857457,GSM4386379,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386379,SRP251749,A,G,AMY,male,Brain
SRR11245826,RNA-Seq,100,927082200,PRJNA610626,SAMN14307558,404135459,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857457,GSM4386379,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386379,SRP251749,A,G,AMY,male,Brain
SRR11245827,RNA-Seq,100,889131900,PRJNA610626,SAMN14307558,383189301,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857457,GSM4386379,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386379,SRP251749,A,G,AMY,male,Brain
SRR11245828,RNA-Seq,100,810173000,PRJNA610626,SAMN14307557,352901631,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857458,GSM4386380,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386380,SRP251749,A,G,AMY,male,Brain
SRR11245829,RNA-Seq,100,824211700,PRJNA610626,SAMN14307557,366287201,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857458,GSM4386380,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386380,SRP251749,A,G,AMY,male,Brain
SRR11245830,RNA-Seq,100,823520600,PRJNA610626,SAMN14307557,365601725,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7857458,GSM4386380,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386380,SRP251749,A,G,AMY,male,Brain
SRR11245831,RNA-Seq,100,908492500,PRJNA610626,SAMN14307453,396189708,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857459,GSM4386381,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386381,SRP251749,A,G,AMY,male,Brain
SRR11246392,RNA-Seq,100,928189400,PRJNA610626,SAMN14307453,404199129,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857459,GSM4386381,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386381,SRP251749,A,G,AMY,male,Brain
SRR11246461,RNA-Seq,100,857261600,PRJNA610626,SAMN14307540,370329255,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857508,GSM4386406,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386406,SRP251749,A,G,AMY,male,Brain
SRR11246462,RNA-Seq,100,865199600,PRJNA610626,SAMN14307540,374713701,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7857508,GSM4386406,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386406,SRP251749,A,G,AMY,male,Brain
SRR11246463,RNA-Seq,100,876553700,PRJNA610626,SAMN14307540,379539639,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857508,GSM4386406,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386406,SRP251749,A,G,AMY,male,Brain
SRR11246568,RNA-Seq,100,848348400,PRJNA610626,SAMN14307408,361067399,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857517,GSM4386415,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386415,SRP251749,A,G,AMY,female,Brain
SRR11246569,RNA-Seq,100,843408300,PRJNA610626,SAMN14307408,357534442,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857517,GSM4386415,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386415,SRP251749,A,G,AMY,female,Brain
SRR11246570,RNA-Seq,100,861490700,PRJNA610626,SAMN14307408,368078168,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857517,GSM4386415,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386415,SRP251749,A,G,AMY,female,Brain
SRR11246571,RNA-Seq,100,955564300,PRJNA610626,SAMN14307407,417194738,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857518,GSM4386416,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386416,SRP251749,A,G,AMY,female,Brain
SRR11246572,RNA-Seq,100,969939300,PRJNA610626,SAMN14307407,443559898,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857518,GSM4386416,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386416,SRP251749,A,G,AMY,female,Brain
SRR11246573,RNA-Seq,100,958733200,PRJNA610626,SAMN14307407,436307557,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857518,GSM4386416,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386416,SRP251749,A,G,AMY,female,Brain
SRR11246574,RNA-Seq,100,795400400,PRJNA610626,SAMN14307406,343210282,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857535,GSM4386417,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386417,SRP251749,A,G,AMY,male,Brain
SRR11246575,RNA-Seq,100,807351600,PRJNA610626,SAMN14307406,353390129,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857535,GSM4386417,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386417,SRP251749,A,G,AMY,male,Brain
SRR11246576,RNA-Seq,100,774997700,PRJNA610626,SAMN14307406,335447611,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7857535,GSM4386417,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386417,SRP251749,A,G,AMY,male,Brain
